epoch=1/30 train=1.032706 validation=21.454541 best_epoch=1
epoch=2/30 train=0.915859 validation=21.420735 best_epoch=2
epoch=3/30 train=0.907682 validation=22.222053 best_epoch=2
epoch=4/30 train=0.902528 validation=22.062809 best_epoch=2
epoch=5/30 train=0.899044 validation=22.537124 best_epoch=2
epoch=6/30 train=0.895505 validation=22.462621 best_epoch=2
epoch=7/30 train=0.893757 validation=21.524860 best_epoch=2
epoch=8/30 train=0.891084 validation=21.688673 best_epoch=2
epoch=9/30 train=0.889161 validation=21.759434 best_epoch=2
epoch=10/30 train=0.886788 validation=21.648759 best_epoch=2
epoch=11/30 train=0.884991 validation=21.476175 best_epoch=2
epoch=12/30 train=0.882748 validation=21.990125 best_epoch=2
epoch=13/30 train=0.880996 validation=21.784892 best_epoch=2
epoch=14/30 train=0.878693 validation=21.916075 best_epoch=2
epoch=15/30 train=0.876787 validation=22.579810 best_epoch=2
epoch=16/30 train=0.874898 validation=21.957558 best_epoch=2
epoch=17/30 train=0.872940 validation=21.933749 best_epoch=2
epoch=18/30 train=0.871330 validation=21.918692 best_epoch=2
epoch=19/30 train=0.869280 validation=23.201014 best_epoch=2
epoch=20/30 train=0.867381 validation=22.243312 best_epoch=2
epoch=21/30 train=0.865969 validation=22.524515 best_epoch=2
epoch=22/30 train=0.863515 validation=22.228165 best_epoch=2
epoch=23/30 train=0.862480 validation=22.321757 best_epoch=2
epoch=24/30 train=0.860299 validation=22.244794 best_epoch=2
epoch=25/30 train=0.860070 validation=22.459176 best_epoch=2
epoch=26/30 train=0.857879 validation=22.395781 best_epoch=2
epoch=27/30 train=0.856148 validation=22.604919 best_epoch=2
epoch=28/30 train=0.855275 validation=22.546932 best_epoch=2
epoch=29/30 train=0.854370 validation=22.182579 best_epoch=2
epoch=30/30 train=0.852742 validation=22.513824 best_epoch=2
results=/root/workspace/Code/DualTimesField-nonlinear-head/outputs/forecasting/additive_nonlinear_head/TAS1
