epoch=1/30 train=1.333961 validation=7.200035 best_epoch=1
epoch=2/30 train=1.195990 validation=6.676885 best_epoch=2
epoch=3/30 train=1.119872 validation=6.549350 best_epoch=3
epoch=4/30 train=1.105577 validation=6.293253 best_epoch=4
epoch=5/30 train=0.984340 validation=6.436202 best_epoch=4
epoch=6/30 train=0.948504 validation=6.421823 best_epoch=4
epoch=7/30 train=0.930249 validation=6.430645 best_epoch=4
epoch=8/30 train=0.916869 validation=6.395580 best_epoch=4
epoch=9/30 train=0.891532 validation=6.391252 best_epoch=4
epoch=10/30 train=0.906342 validation=6.389804 best_epoch=4
epoch=11/30 train=0.877658 validation=6.625869 best_epoch=4
epoch=12/30 train=0.838252 validation=6.690535 best_epoch=4
epoch=13/30 train=0.814015 validation=6.807079 best_epoch=4
epoch=14/30 train=0.799822 validation=6.609732 best_epoch=4
epoch=15/30 train=0.724560 validation=6.746249 best_epoch=4
epoch=16/30 train=0.679843 validation=6.581810 best_epoch=4
epoch=17/30 train=0.727617 validation=6.546961 best_epoch=4
epoch=18/30 train=0.665638 validation=6.500726 best_epoch=4
epoch=19/30 train=0.656670 validation=6.676784 best_epoch=4
epoch=20/30 train=0.590917 validation=6.554924 best_epoch=4
epoch=21/30 train=0.599458 validation=6.442013 best_epoch=4
epoch=22/30 train=0.584874 validation=6.683117 best_epoch=4
epoch=23/30 train=0.577608 validation=6.526111 best_epoch=4
epoch=24/30 train=0.584349 validation=6.641053 best_epoch=4
epoch=25/30 train=0.560890 validation=6.712275 best_epoch=4
epoch=26/30 train=0.583851 validation=6.839177 best_epoch=4
epoch=27/30 train=0.547285 validation=6.775029 best_epoch=4
epoch=28/30 train=0.554558 validation=6.987417 best_epoch=4
epoch=29/30 train=0.546286 validation=6.629106 best_epoch=4
epoch=30/30 train=0.529288 validation=6.903290 best_epoch=4
results=/root/workspace/Code/DualTimesField-tcn-attention-head/outputs/forecasting/additive_tcn_attention_head/QLD1
