epoch=1/30 train=1.037883 validation=21.829161 best_epoch=1
epoch=2/30 train=0.906849 validation=21.636524 best_epoch=2
epoch=3/30 train=0.892717 validation=22.127724 best_epoch=2
epoch=4/30 train=0.877905 validation=21.883087 best_epoch=2
epoch=5/30 train=0.859845 validation=22.563300 best_epoch=2
epoch=6/30 train=0.844733 validation=22.551974 best_epoch=2
epoch=7/30 train=0.838792 validation=22.643670 best_epoch=2
epoch=8/30 train=0.828310 validation=22.956082 best_epoch=2
epoch=9/30 train=0.819635 validation=22.978144 best_epoch=2
epoch=10/30 train=0.816377 validation=22.945268 best_epoch=2
epoch=11/30 train=0.811461 validation=23.555681 best_epoch=2
epoch=12/30 train=0.804776 validation=23.322971 best_epoch=2
epoch=13/30 train=0.813989 validation=23.543493 best_epoch=2
epoch=14/30 train=0.796735 validation=23.316416 best_epoch=2
epoch=15/30 train=0.788529 validation=22.513716 best_epoch=2
epoch=16/30 train=0.787591 validation=22.762636 best_epoch=2
epoch=17/30 train=0.780865 validation=22.754715 best_epoch=2
epoch=18/30 train=0.771870 validation=22.566187 best_epoch=2
epoch=19/30 train=0.767539 validation=22.391120 best_epoch=2
epoch=20/30 train=0.763200 validation=22.112043 best_epoch=2
epoch=21/30 train=0.757622 validation=22.591834 best_epoch=2
epoch=22/30 train=0.754644 validation=22.169889 best_epoch=2
epoch=23/30 train=0.745148 validation=22.049173 best_epoch=2
epoch=24/30 train=0.740308 validation=22.425537 best_epoch=2
epoch=25/30 train=0.735831 validation=22.353212 best_epoch=2
epoch=26/30 train=0.731996 validation=22.365447 best_epoch=2
epoch=27/30 train=0.728550 validation=22.348831 best_epoch=2
epoch=28/30 train=0.730485 validation=22.473571 best_epoch=2
epoch=29/30 train=0.717646 validation=22.222412 best_epoch=2
epoch=30/30 train=0.717629 validation=22.674104 best_epoch=2
results=/root/workspace/Code/DualTimesField-tcn-attention-head/outputs/forecasting/additive_tcn_attention_head/TAS1
