epoch=1/30 train=1.339262 validation=6.849684 best_epoch=1
epoch=2/30 train=1.227689 validation=6.626351 best_epoch=2
epoch=3/30 train=1.194141 validation=6.572692 best_epoch=3
epoch=4/30 train=1.175927 validation=6.595583 best_epoch=3
epoch=5/30 train=1.134094 validation=6.568810 best_epoch=5
epoch=6/30 train=1.088076 validation=6.355924 best_epoch=6
epoch=7/30 train=1.047502 validation=6.367049 best_epoch=6
epoch=8/30 train=1.011438 validation=6.412265 best_epoch=6
epoch=9/30 train=0.966252 validation=6.714556 best_epoch=6
epoch=10/30 train=0.919848 validation=6.753696 best_epoch=6
epoch=11/30 train=0.882856 validation=6.543177 best_epoch=6
epoch=12/30 train=0.834265 validation=6.534056 best_epoch=6
epoch=13/30 train=0.799611 validation=6.500782 best_epoch=6
epoch=14/30 train=0.865722 validation=7.172629 best_epoch=6
epoch=15/30 train=0.781045 validation=6.523959 best_epoch=6
epoch=16/30 train=0.748605 validation=6.488406 best_epoch=6
epoch=17/30 train=0.732306 validation=6.562202 best_epoch=6
epoch=18/30 train=0.838944 validation=6.534670 best_epoch=6
epoch=19/30 train=0.723868 validation=6.483002 best_epoch=6
epoch=20/30 train=0.697144 validation=6.568244 best_epoch=6
epoch=21/30 train=0.686661 validation=6.528897 best_epoch=6
epoch=22/30 train=0.674352 validation=6.690260 best_epoch=6
epoch=23/30 train=0.696099 validation=7.355864 best_epoch=6
epoch=24/30 train=0.696195 validation=6.569827 best_epoch=6
epoch=25/30 train=0.639891 validation=6.675367 best_epoch=6
epoch=26/30 train=0.629899 validation=6.750521 best_epoch=6
epoch=27/30 train=0.648431 validation=7.002904 best_epoch=6
epoch=28/30 train=0.612656 validation=6.677005 best_epoch=6
epoch=29/30 train=0.596241 validation=6.735065 best_epoch=6
epoch=30/30 train=0.591213 validation=6.806345 best_epoch=6
results=/root/workspace/Code/DualTimesField-tcn-head/outputs/forecasting/additive_tcn_head/QLD1
