epoch=1/30 train=1.030729 validation=21.284928 best_epoch=1
epoch=2/30 train=0.922724 validation=21.243586 best_epoch=2
epoch=3/30 train=0.916852 validation=21.941693 best_epoch=2
epoch=4/30 train=0.913995 validation=22.803058 best_epoch=2
epoch=5/30 train=0.912517 validation=24.549480 best_epoch=2
epoch=6/30 train=0.910668 validation=24.634083 best_epoch=2
epoch=7/30 train=0.910146 validation=22.843740 best_epoch=2
epoch=8/30 train=0.908833 validation=21.777146 best_epoch=2
epoch=9/30 train=0.908088 validation=21.916993 best_epoch=2
epoch=10/30 train=0.906951 validation=23.876410 best_epoch=2
epoch=11/30 train=0.906213 validation=26.161319 best_epoch=2
epoch=12/30 train=0.905581 validation=23.731976 best_epoch=2
epoch=13/30 train=0.904993 validation=24.963805 best_epoch=2
epoch=14/30 train=0.904402 validation=23.704951 best_epoch=2
epoch=15/30 train=0.903679 validation=25.786998 best_epoch=2
epoch=16/30 train=0.903489 validation=22.299816 best_epoch=2
epoch=17/30 train=0.902398 validation=23.581507 best_epoch=2
epoch=18/30 train=0.902183 validation=21.997229 best_epoch=2
epoch=19/30 train=0.901560 validation=28.154507 best_epoch=2
epoch=20/30 train=0.900916 validation=22.555525 best_epoch=2
epoch=21/30 train=0.900955 validation=22.028761 best_epoch=2
epoch=22/30 train=0.900022 validation=21.811302 best_epoch=2
epoch=23/30 train=0.899505 validation=22.180699 best_epoch=2
epoch=24/30 train=0.898671 validation=22.417775 best_epoch=2
epoch=25/30 train=0.898784 validation=22.562456 best_epoch=2
epoch=26/30 train=0.897584 validation=22.052329 best_epoch=2
epoch=27/30 train=0.897530 validation=23.001455 best_epoch=2
epoch=28/30 train=0.896932 validation=23.162159 best_epoch=2
epoch=29/30 train=0.896559 validation=22.385548 best_epoch=2
epoch=30/30 train=0.895449 validation=22.806642 best_epoch=2
results=/root/workspace/Code/DualTimesField-additive-gate/outputs/forecasting/additive_trigonometric_gate/TAS1
