epoch=1/30 train=9.234137 validation=11.266732 best_epoch=1
epoch=2/30 train=9.022035 validation=11.239632 best_epoch=2
epoch=3/30 train=9.006441 validation=11.220241 best_epoch=3
epoch=4/30 train=8.998272 validation=11.218913 best_epoch=4
epoch=5/30 train=8.993072 validation=11.220309 best_epoch=4
epoch=6/30 train=8.987027 validation=11.202796 best_epoch=6
epoch=7/30 train=8.982584 validation=11.201944 best_epoch=7
epoch=8/30 train=8.978462 validation=11.195735 best_epoch=8
epoch=9/30 train=8.973313 validation=11.188600 best_epoch=9
epoch=10/30 train=8.970560 validation=11.183191 best_epoch=10
epoch=11/30 train=8.965436 validation=11.175791 best_epoch=11
epoch=12/30 train=8.961810 validation=11.176423 best_epoch=11
epoch=13/30 train=8.958215 validation=11.178253 best_epoch=11
epoch=14/30 train=8.953777 validation=11.170092 best_epoch=14
epoch=15/30 train=8.949821 validation=11.167422 best_epoch=15
epoch=16/30 train=8.946867 validation=11.180297 best_epoch=15
epoch=17/30 train=8.943363 validation=11.167714 best_epoch=15
epoch=18/30 train=8.939814 validation=11.176044 best_epoch=15
epoch=19/30 train=8.936578 validation=11.170388 best_epoch=15
epoch=20/30 train=8.934004 validation=11.160212 best_epoch=20
epoch=21/30 train=8.928819 validation=11.168725 best_epoch=20
epoch=22/30 train=8.926821 validation=11.154918 best_epoch=22
epoch=23/30 train=8.924103 validation=11.161369 best_epoch=22
epoch=24/30 train=8.921556 validation=11.158485 best_epoch=22
epoch=25/30 train=8.918129 validation=11.159848 best_epoch=22
epoch=26/30 train=8.916929 validation=11.156966 best_epoch=22
epoch=27/30 train=8.912828 validation=11.168241 best_epoch=22
epoch=28/30 train=8.911112 validation=11.145435 best_epoch=28
epoch=29/30 train=8.908808 validation=11.148522 best_epoch=28
epoch=30/30 train=8.907201 validation=11.147762 best_epoch=28
results=/root/workspace/Code/DualTimesField/outputs/forecasting/dynamic_window/QLD1
