epoch=1/30 train=8.002833 validation=15.986670 best_epoch=1
epoch=2/30 train=7.885757 validation=15.943634 best_epoch=2
epoch=3/30 train=7.876826 validation=15.936715 best_epoch=3
epoch=4/30 train=7.870919 validation=15.921891 best_epoch=4
epoch=5/30 train=7.867666 validation=15.913572 best_epoch=5
epoch=6/30 train=7.865050 validation=15.904730 best_epoch=6
epoch=7/30 train=7.863050 validation=15.906147 best_epoch=6
epoch=8/30 train=7.861273 validation=15.913819 best_epoch=6
epoch=9/30 train=7.859493 validation=15.889768 best_epoch=9
epoch=10/30 train=7.858804 validation=15.911566 best_epoch=9
epoch=11/30 train=7.857684 validation=15.899923 best_epoch=9
epoch=12/30 train=7.856713 validation=15.901583 best_epoch=9
epoch=13/30 train=7.855959 validation=15.906161 best_epoch=9
epoch=14/30 train=7.855074 validation=15.912804 best_epoch=9
epoch=15/30 train=7.854051 validation=15.914249 best_epoch=9
epoch=16/30 train=7.853759 validation=15.904394 best_epoch=9
epoch=17/30 train=7.852711 validation=15.901121 best_epoch=9
epoch=18/30 train=7.851923 validation=15.894770 best_epoch=9
epoch=19/30 train=7.851271 validation=15.909354 best_epoch=9
epoch=20/30 train=7.849937 validation=15.900732 best_epoch=9
epoch=21/30 train=7.850112 validation=15.887072 best_epoch=21
epoch=22/30 train=7.848746 validation=15.908629 best_epoch=21
epoch=23/30 train=7.848189 validation=15.898151 best_epoch=21
epoch=24/30 train=7.846683 validation=15.909694 best_epoch=21
epoch=25/30 train=7.845840 validation=15.902409 best_epoch=21
epoch=26/30 train=7.844527 validation=15.890378 best_epoch=21
epoch=27/30 train=7.844104 validation=15.903181 best_epoch=21
epoch=28/30 train=7.842698 validation=15.900698 best_epoch=21
epoch=29/30 train=7.841068 validation=15.922337 best_epoch=21
epoch=30/30 train=7.839766 validation=15.908425 best_epoch=21
results=/root/workspace/Code/DualTimesField/outputs/forecasting/dynamic_window/TAS1
