epoch=1/30 train=1.989149 validation=3.589928 best_epoch=1
epoch=2/30 train=1.723683 validation=3.023698 best_epoch=2
epoch=3/30 train=1.529815 validation=2.509311 best_epoch=3
epoch=4/30 train=1.400639 validation=2.167845 best_epoch=4
epoch=5/30 train=1.338613 validation=1.978103 best_epoch=5
epoch=6/30 train=1.301959 validation=1.895214 best_epoch=6
epoch=7/30 train=1.284457 validation=1.863627 best_epoch=7
epoch=8/30 train=1.275290 validation=1.880583 best_epoch=7
epoch=9/30 train=1.269343 validation=1.864087 best_epoch=7
epoch=10/30 train=1.266906 validation=1.848645 best_epoch=10
epoch=11/30 train=1.264846 validation=1.841371 best_epoch=11
epoch=12/30 train=1.260774 validation=1.820417 best_epoch=12
epoch=13/30 train=1.258410 validation=1.848669 best_epoch=12
epoch=14/30 train=1.256286 validation=1.807338 best_epoch=14
epoch=15/30 train=1.253986 validation=1.803368 best_epoch=15
epoch=16/30 train=1.254081 validation=1.821953 best_epoch=15
epoch=17/30 train=1.250955 validation=1.771686 best_epoch=17
epoch=18/30 train=1.249202 validation=1.793944 best_epoch=17
epoch=19/30 train=1.248815 validation=1.791879 best_epoch=17
epoch=20/30 train=1.245173 validation=1.804255 best_epoch=17
epoch=21/30 train=1.246394 validation=1.758637 best_epoch=21
epoch=22/30 train=1.242963 validation=1.788097 best_epoch=21
epoch=23/30 train=1.239751 validation=1.768991 best_epoch=21
epoch=24/30 train=1.241509 validation=1.762234 best_epoch=21
epoch=25/30 train=1.238265 validation=1.736852 best_epoch=25
epoch=26/30 train=1.237160 validation=1.753454 best_epoch=25
epoch=27/30 train=1.237170 validation=1.750878 best_epoch=25
epoch=28/30 train=1.232675 validation=1.730346 best_epoch=28
epoch=29/30 train=1.228527 validation=1.704283 best_epoch=29
epoch=30/30 train=1.226562 validation=1.736529 best_epoch=29
results=/root/workspace/Code/DualTimesField-fixed-origin/outputs/forecasting/fixed_origin/NSW1
