epoch=1/30 train=1.996202 validation=8.621578 best_epoch=1
epoch=2/30 train=1.711988 validation=7.886871 best_epoch=2
epoch=3/30 train=1.495848 validation=7.214777 best_epoch=3
epoch=4/30 train=1.350135 validation=6.756492 best_epoch=4
epoch=5/30 train=1.283655 validation=6.508251 best_epoch=5
epoch=6/30 train=1.248646 validation=6.344358 best_epoch=6
epoch=7/30 train=1.230455 validation=6.208673 best_epoch=7
epoch=8/30 train=1.217451 validation=6.105595 best_epoch=8
epoch=9/30 train=1.208746 validation=6.055679 best_epoch=9
epoch=10/30 train=1.205085 validation=6.010443 best_epoch=10
epoch=11/30 train=1.199464 validation=6.014414 best_epoch=10
epoch=12/30 train=1.194019 validation=6.008170 best_epoch=12
epoch=13/30 train=1.188370 validation=5.961025 best_epoch=13
epoch=14/30 train=1.183523 validation=5.958259 best_epoch=14
epoch=15/30 train=1.180905 validation=5.971150 best_epoch=14
epoch=16/30 train=1.174102 validation=5.987343 best_epoch=14
epoch=17/30 train=1.169586 validation=5.950597 best_epoch=17
epoch=18/30 train=1.172325 validation=5.989477 best_epoch=17
epoch=19/30 train=1.163709 validation=5.933566 best_epoch=19
epoch=20/30 train=1.165783 validation=6.029214 best_epoch=19
epoch=21/30 train=1.156090 validation=5.913488 best_epoch=21
epoch=22/30 train=1.160022 validation=6.009141 best_epoch=21
epoch=23/30 train=1.151162 validation=5.914194 best_epoch=21
epoch=24/30 train=1.157809 validation=5.951372 best_epoch=21
epoch=25/30 train=1.158823 validation=5.939074 best_epoch=21
epoch=26/30 train=1.147146 validation=5.921208 best_epoch=21
epoch=27/30 train=1.154060 validation=5.942960 best_epoch=21
epoch=28/30 train=1.144546 validation=5.902693 best_epoch=28
epoch=29/30 train=1.137907 validation=5.847642 best_epoch=29
epoch=30/30 train=1.135511 validation=5.885343 best_epoch=29
results=/root/workspace/Code/DualTimesField-fixed-origin/outputs/forecasting/fixed_origin/QLD1
