epoch=1/30 train=2.053984 validation=28.082565 best_epoch=1
epoch=2/30 train=1.518772 validation=24.372341 best_epoch=2
epoch=3/30 train=1.130665 validation=22.597196 best_epoch=3
epoch=4/30 train=1.001862 validation=21.800282 best_epoch=4
epoch=5/30 train=0.942647 validation=21.358474 best_epoch=5
epoch=6/30 train=0.911055 validation=21.049665 best_epoch=6
epoch=7/30 train=0.892883 validation=20.940381 best_epoch=7
epoch=8/30 train=0.882396 validation=20.850216 best_epoch=8
epoch=9/30 train=0.874698 validation=20.783216 best_epoch=9
epoch=10/30 train=0.870423 validation=20.736967 best_epoch=10
epoch=11/30 train=0.864599 validation=20.694990 best_epoch=11
epoch=12/30 train=0.861325 validation=20.663960 best_epoch=12
epoch=13/30 train=0.857799 validation=20.646549 best_epoch=13
epoch=14/30 train=0.856127 validation=20.632960 best_epoch=14
epoch=15/30 train=0.853651 validation=20.617216 best_epoch=15
epoch=16/30 train=0.851750 validation=20.574846 best_epoch=16
epoch=17/30 train=0.850540 validation=20.604027 best_epoch=16
epoch=18/30 train=0.848444 validation=20.586619 best_epoch=16
epoch=19/30 train=0.848045 validation=20.583815 best_epoch=16
epoch=20/30 train=0.845891 validation=20.564404 best_epoch=20
epoch=21/30 train=0.845206 validation=20.586483 best_epoch=20
epoch=22/30 train=0.844468 validation=20.574057 best_epoch=20
epoch=23/30 train=0.844724 validation=20.574314 best_epoch=20
epoch=24/30 train=0.841730 validation=20.648801 best_epoch=20
epoch=25/30 train=0.840498 validation=20.522546 best_epoch=25
epoch=26/30 train=0.841934 validation=20.602686 best_epoch=25
epoch=27/30 train=0.840674 validation=20.632728 best_epoch=25
epoch=28/30 train=0.840730 validation=20.584386 best_epoch=25
epoch=29/30 train=0.839168 validation=20.645607 best_epoch=25
epoch=30/30 train=0.838718 validation=20.581380 best_epoch=25
results=/root/workspace/Code/DualTimesField-fixed-origin/outputs/forecasting/fixed_origin/TAS1
