epoch=1/100 train=1.747060 validation=2.490331 best_epoch=1
epoch=2/100 train=1.377948 validation=2.187115 best_epoch=2
epoch=3/100 train=1.295276 validation=1.813751 best_epoch=3
epoch=4/100 train=1.282763 validation=1.811949 best_epoch=4
epoch=5/100 train=1.273250 validation=1.760182 best_epoch=5
epoch=6/100 train=1.262821 validation=1.767866 best_epoch=5
epoch=7/100 train=1.259858 validation=1.724203 best_epoch=7
epoch=8/100 train=1.254401 validation=1.749735 best_epoch=7
epoch=9/100 train=1.249629 validation=1.736354 best_epoch=7
epoch=10/100 train=1.249030 validation=1.778337 best_epoch=7
epoch=11/100 train=1.248590 validation=1.684180 best_epoch=11
epoch=12/100 train=1.236628 validation=1.661383 best_epoch=12
epoch=13/100 train=1.233617 validation=1.674397 best_epoch=12
epoch=14/100 train=1.227605 validation=1.655866 best_epoch=14
epoch=15/100 train=1.221599 validation=1.672687 best_epoch=14
epoch=16/100 train=1.222625 validation=1.667391 best_epoch=14
epoch=17/100 train=1.210837 validation=1.675447 best_epoch=14
epoch=18/100 train=1.203193 validation=1.702659 best_epoch=14
epoch=19/100 train=1.204116 validation=1.704534 best_epoch=14
epoch=20/100 train=1.198081 validation=1.664298 best_epoch=14
epoch=21/100 train=1.195642 validation=1.686558 best_epoch=14
epoch=22/100 train=1.184331 validation=1.722781 best_epoch=14
epoch=23/100 train=1.174046 validation=1.744075 best_epoch=14
epoch=24/100 train=1.181042 validation=1.753622 best_epoch=14
epoch=25/100 train=1.169915 validation=1.732135 best_epoch=14
epoch=26/100 train=1.165092 validation=1.736323 best_epoch=14
epoch=27/100 train=1.166996 validation=1.785255 best_epoch=14
epoch=28/100 train=1.157390 validation=1.793998 best_epoch=14
epoch=29/100 train=1.149776 validation=1.882312 best_epoch=14
epoch=30/100 train=1.146190 validation=1.850321 best_epoch=14
epoch=31/100 train=1.147671 validation=1.819434 best_epoch=14
epoch=32/100 train=1.148896 validation=1.847404 best_epoch=14
epoch=33/100 train=1.136245 validation=1.875432 best_epoch=14
epoch=34/100 train=1.130868 validation=1.886340 best_epoch=14
epoch=35/100 train=1.136450 validation=1.894130 best_epoch=14
epoch=36/100 train=1.127829 validation=1.853478 best_epoch=14
epoch=37/100 train=1.124504 validation=1.913872 best_epoch=14
epoch=38/100 train=1.127520 validation=1.811672 best_epoch=14
epoch=39/100 train=1.128484 validation=1.822529 best_epoch=14
epoch=40/100 train=1.122262 validation=1.915620 best_epoch=14
epoch=41/100 train=1.116094 validation=1.969310 best_epoch=14
epoch=42/100 train=1.116033 validation=1.861716 best_epoch=14
epoch=43/100 train=1.120717 validation=1.851332 best_epoch=14
epoch=44/100 train=1.112213 validation=1.925055 best_epoch=14
epoch=45/100 train=1.110779 validation=2.072942 best_epoch=14
epoch=46/100 train=1.117739 validation=1.970409 best_epoch=14
