epoch=1/100 train=1.742811 validation=7.241145 best_epoch=1
epoch=2/100 train=1.325559 validation=6.583605 best_epoch=2
epoch=3/100 train=1.251630 validation=6.194203 best_epoch=3
epoch=4/100 train=1.215098 validation=6.032764 best_epoch=4
epoch=5/100 train=1.203812 validation=5.981826 best_epoch=5
epoch=6/100 train=1.196895 validation=6.017846 best_epoch=5
epoch=7/100 train=1.193381 validation=6.155784 best_epoch=5
epoch=8/100 train=1.174090 validation=5.905621 best_epoch=8
epoch=9/100 train=1.163461 validation=5.904248 best_epoch=9
epoch=10/100 train=1.168154 validation=5.925372 best_epoch=9
epoch=11/100 train=1.173708 validation=5.856807 best_epoch=11
epoch=12/100 train=1.161861 validation=6.042828 best_epoch=11
epoch=13/100 train=1.143624 validation=5.871004 best_epoch=11
epoch=14/100 train=1.130990 validation=5.825380 best_epoch=14
epoch=15/100 train=1.134685 validation=5.936810 best_epoch=14
epoch=16/100 train=1.122491 validation=6.012717 best_epoch=14
epoch=17/100 train=1.111111 validation=5.997461 best_epoch=14
epoch=18/100 train=1.129757 validation=6.004726 best_epoch=14
epoch=19/100 train=1.107100 validation=5.867397 best_epoch=14
epoch=20/100 train=1.114666 validation=6.087266 best_epoch=14
epoch=21/100 train=1.102430 validation=6.157337 best_epoch=14
epoch=22/100 train=1.106043 validation=5.991018 best_epoch=14
epoch=23/100 train=1.089190 validation=6.071625 best_epoch=14
epoch=24/100 train=1.124072 validation=5.912232 best_epoch=14
epoch=25/100 train=1.119840 validation=6.051514 best_epoch=14
epoch=26/100 train=1.092607 validation=6.094152 best_epoch=14
epoch=27/100 train=1.097694 validation=6.264742 best_epoch=14
epoch=28/100 train=1.084555 validation=6.054608 best_epoch=14
epoch=29/100 train=1.089164 validation=6.070810 best_epoch=14
epoch=30/100 train=1.084387 validation=6.072154 best_epoch=14
epoch=31/100 train=1.079344 validation=6.409724 best_epoch=14
epoch=32/100 train=1.095740 validation=6.216520 best_epoch=14
epoch=33/100 train=1.085924 validation=6.734309 best_epoch=14
epoch=34/100 train=1.116136 validation=5.942377 best_epoch=14
epoch=35/100 train=1.071477 validation=6.154684 best_epoch=14
epoch=36/100 train=1.072399 validation=6.176454 best_epoch=14
epoch=37/100 train=1.057583 validation=6.286382 best_epoch=14
epoch=38/100 train=1.047587 validation=6.197280 best_epoch=14
epoch=39/100 train=1.044180 validation=6.473892 best_epoch=14
epoch=40/100 train=1.053172 validation=6.337461 best_epoch=14
epoch=41/100 train=1.064677 validation=6.393275 best_epoch=14
epoch=42/100 train=1.066311 validation=6.160449 best_epoch=14
epoch=43/100 train=1.052352 validation=6.402128 best_epoch=14
epoch=44/100 train=1.065356 validation=6.226602 best_epoch=14
epoch=45/100 train=1.033448 validation=6.248761 best_epoch=14
epoch=46/100 train=1.032414 validation=6.630375 best_epoch=14
epoch=47/100 train=1.037684 validation=6.410044 best_epoch=14
epoch=48/100 train=1.047077 validation=6.120024 best_epoch=14
epoch=49/100 train=1.031279 validation=6.410962 best_epoch=14
epoch=50/100 train=1.008815 validation=6.575496 best_epoch=14
epoch=51/100 train=1.082680 validation=6.174017 best_epoch=14
epoch=52/100 train=1.041919 validation=6.237032 best_epoch=14
epoch=53/100 train=1.026186 validation=6.292160 best_epoch=14
epoch=54/100 train=1.035687 validation=6.534271 best_epoch=14
epoch=55/100 train=1.054700 validation=6.291907 best_epoch=14
epoch=56/100 train=1.024340 validation=6.500116 best_epoch=14
epoch=57/100 train=1.061040 validation=6.180834 best_epoch=14
epoch=58/100 train=1.026280 validation=6.246440 best_epoch=14
epoch=59/100 train=1.054288 validation=6.297887 best_epoch=14
epoch=60/100 train=1.100669 validation=6.035284 best_epoch=14
epoch=61/100 train=1.041226 validation=6.010501 best_epoch=14
epoch=62/100 train=1.019294 validation=6.324326 best_epoch=14
epoch=63/100 train=1.034712 validation=6.196909 best_epoch=14
epoch=64/100 train=1.008472 validation=6.232854 best_epoch=14
epoch=65/100 train=1.022766 validation=6.368261 best_epoch=14
epoch=66/100 train=1.030361 validation=6.136241 best_epoch=14
epoch=67/100 train=1.024834 validation=6.252977 best_epoch=14
epoch=68/100 train=1.032515 validation=6.903336 best_epoch=14
epoch=69/100 train=1.071805 validation=6.084459 best_epoch=14
epoch=70/100 train=1.035209 validation=6.079540 best_epoch=14
epoch=71/100 train=1.012293 validation=6.191408 best_epoch=14
epoch=72/100 train=0.999952 validation=6.362961 best_epoch=14
epoch=73/100 train=0.995339 validation=6.294041 best_epoch=14
epoch=74/100 train=0.999504 validation=6.320336 best_epoch=14
epoch=75/100 train=1.003781 validation=6.238103 best_epoch=14
epoch=76/100 train=0.994374 validation=6.399718 best_epoch=14
epoch=77/100 train=0.978464 validation=6.325648 best_epoch=14
epoch=78/100 train=0.982381 validation=6.420781 best_epoch=14
epoch=79/100 train=1.005108 validation=6.302190 best_epoch=14
epoch=80/100 train=0.971153 validation=6.842271 best_epoch=14
epoch=81/100 train=0.995937 validation=6.243491 best_epoch=14
epoch=82/100 train=1.005145 validation=6.139590 best_epoch=14
epoch=83/100 train=0.969305 validation=6.317487 best_epoch=14
epoch=84/100 train=0.977988 validation=6.224083 best_epoch=14
epoch=85/100 train=1.006561 validation=6.772020 best_epoch=14
epoch=86/100 train=1.109432 validation=6.411497 best_epoch=14
epoch=87/100 train=1.038025 validation=6.112385 best_epoch=14
epoch=88/100 train=0.983454 validation=6.255221 best_epoch=14
epoch=89/100 train=0.999525 validation=6.261373 best_epoch=14
epoch=90/100 train=0.979197 validation=6.501918 best_epoch=14
epoch=91/100 train=0.992943 validation=6.270690 best_epoch=14
epoch=92/100 train=1.019395 validation=6.202849 best_epoch=14
epoch=93/100 train=0.959757 validation=6.362048 best_epoch=14
epoch=94/100 train=0.990277 validation=6.276309 best_epoch=14
epoch=95/100 train=0.958220 validation=6.242882 best_epoch=14
epoch=96/100 train=0.966142 validation=6.385816 best_epoch=14
epoch=97/100 train=0.958320 validation=6.383602 best_epoch=14
epoch=98/100 train=0.956373 validation=6.387945 best_epoch=14
epoch=99/100 train=0.972097 validation=6.187558 best_epoch=14
epoch=100/100 train=0.972942 validation=6.395788 best_epoch=14
results=/root/workspace/Code/DualTimesField-fixed-origin/outputs/forecasting/fixed_origin_extended/QLD1
