epoch=1/100 train=1.633598 validation=23.321693 best_epoch=1
epoch=2/100 train=1.020976 validation=21.199855 best_epoch=2
epoch=3/100 train=0.906892 validation=20.915345 best_epoch=3
epoch=4/100 train=0.877217 validation=20.705655 best_epoch=4
epoch=5/100 train=0.868450 validation=20.730521 best_epoch=4
epoch=6/100 train=0.861375 validation=20.662257 best_epoch=6
epoch=7/100 train=0.855450 validation=20.683058 best_epoch=6
epoch=8/100 train=0.854102 validation=20.619308 best_epoch=8
epoch=9/100 train=0.851014 validation=20.494336 best_epoch=9
epoch=10/100 train=0.850767 validation=20.580842 best_epoch=9
epoch=11/100 train=0.848227 validation=20.637443 best_epoch=9
epoch=12/100 train=0.844228 validation=20.705042 best_epoch=9
epoch=13/100 train=0.842866 validation=20.698878 best_epoch=9
epoch=14/100 train=0.843186 validation=20.820589 best_epoch=9
epoch=15/100 train=0.842058 validation=20.728431 best_epoch=9
epoch=16/100 train=0.841119 validation=20.787672 best_epoch=9
epoch=17/100 train=0.844459 validation=20.822791 best_epoch=9
epoch=18/100 train=0.841256 validation=20.878489 best_epoch=9
epoch=19/100 train=0.840173 validation=20.793096 best_epoch=9
epoch=20/100 train=0.838923 validation=20.957978 best_epoch=9
epoch=21/100 train=0.838093 validation=21.154092 best_epoch=9
epoch=22/100 train=0.838935 validation=21.081916 best_epoch=9
epoch=23/100 train=0.836738 validation=21.294275 best_epoch=9
epoch=24/100 train=0.833773 validation=20.922903 best_epoch=9
epoch=25/100 train=0.831804 validation=21.200727 best_epoch=9
epoch=26/100 train=0.835605 validation=20.950787 best_epoch=9
epoch=27/100 train=0.833646 validation=21.372004 best_epoch=9
epoch=28/100 train=0.836179 validation=21.402652 best_epoch=9
epoch=29/100 train=0.834851 validation=21.171094 best_epoch=9
epoch=30/100 train=0.833254 validation=21.151200 best_epoch=9
epoch=31/100 train=0.832843 validation=21.931437 best_epoch=9
epoch=32/100 train=0.830320 validation=21.168526 best_epoch=9
epoch=33/100 train=0.834196 validation=21.062789 best_epoch=9
epoch=34/100 train=0.833998 validation=21.136124 best_epoch=9
epoch=35/100 train=0.830190 validation=22.106707 best_epoch=9
epoch=36/100 train=0.831152 validation=20.748529 best_epoch=9
epoch=37/100 train=0.833706 validation=21.143283 best_epoch=9
epoch=38/100 train=0.831158 validation=21.302663 best_epoch=9
epoch=39/100 train=0.831043 validation=21.812265 best_epoch=9
epoch=40/100 train=0.830843 validation=21.612724 best_epoch=9
epoch=41/100 train=0.828686 validation=20.942174 best_epoch=9
epoch=42/100 train=0.828467 validation=21.179086 best_epoch=9
epoch=43/100 train=0.830442 validation=22.513315 best_epoch=9
epoch=44/100 train=0.828668 validation=21.558484 best_epoch=9
epoch=45/100 train=0.827701 validation=21.305805 best_epoch=9
epoch=46/100 train=0.828884 validation=21.417061 best_epoch=9
epoch=47/100 train=0.827793 validation=21.146758 best_epoch=9
epoch=48/100 train=0.828231 validation=21.816280 best_epoch=9
epoch=49/100 train=0.827678 validation=21.226469 best_epoch=9
epoch=50/100 train=0.828579 validation=20.929588 best_epoch=9
epoch=51/100 train=0.827325 validation=21.675610 best_epoch=9
epoch=52/100 train=0.827978 validation=21.304638 best_epoch=9
epoch=53/100 train=0.828275 validation=21.988908 best_epoch=9
epoch=54/100 train=0.825289 validation=21.197423 best_epoch=9
epoch=55/100 train=0.826710 validation=21.359559 best_epoch=9
epoch=56/100 train=0.825626 validation=21.525744 best_epoch=9
epoch=57/100 train=0.825405 validation=22.076366 best_epoch=9
epoch=58/100 train=0.825226 validation=20.809336 best_epoch=9
epoch=59/100 train=0.825007 validation=21.662509 best_epoch=9
epoch=60/100 train=0.824419 validation=21.471179 best_epoch=9
epoch=61/100 train=0.824478 validation=21.239147 best_epoch=9
epoch=62/100 train=0.823230 validation=21.321842 best_epoch=9
epoch=63/100 train=0.823508 validation=21.991201 best_epoch=9
epoch=64/100 train=0.827590 validation=21.517728 best_epoch=9
epoch=65/100 train=0.824298 validation=21.514744 best_epoch=9
epoch=66/100 train=0.821091 validation=21.999865 best_epoch=9
epoch=67/100 train=0.822671 validation=21.691555 best_epoch=9
epoch=68/100 train=0.824267 validation=21.310321 best_epoch=9
epoch=69/100 train=0.823734 validation=22.657634 best_epoch=9
epoch=70/100 train=0.823030 validation=21.397202 best_epoch=9
epoch=71/100 train=0.821515 validation=22.081251 best_epoch=9
epoch=72/100 train=0.823777 validation=21.196223 best_epoch=9
epoch=73/100 train=0.821540 validation=21.107153 best_epoch=9
epoch=74/100 train=0.823059 validation=21.956161 best_epoch=9
epoch=75/100 train=0.822682 validation=20.923173 best_epoch=9
epoch=76/100 train=0.822501 validation=21.952145 best_epoch=9
epoch=77/100 train=0.821578 validation=21.201242 best_epoch=9
epoch=78/100 train=0.819877 validation=22.130403 best_epoch=9
epoch=79/100 train=0.821794 validation=21.980630 best_epoch=9
epoch=80/100 train=0.821727 validation=22.294180 best_epoch=9
epoch=81/100 train=0.822189 validation=21.441242 best_epoch=9
epoch=82/100 train=0.819685 validation=21.637880 best_epoch=9
epoch=83/100 train=0.821991 validation=21.642160 best_epoch=9
epoch=84/100 train=0.823115 validation=21.165707 best_epoch=9
epoch=85/100 train=0.820297 validation=21.950439 best_epoch=9
epoch=86/100 train=0.831608 validation=23.033331 best_epoch=9
epoch=87/100 train=0.823102 validation=21.470847 best_epoch=9
epoch=88/100 train=0.819126 validation=21.863626 best_epoch=9
epoch=89/100 train=0.818039 validation=21.869382 best_epoch=9
epoch=90/100 train=0.817245 validation=21.662824 best_epoch=9
epoch=91/100 train=0.818865 validation=21.885376 best_epoch=9
epoch=92/100 train=0.818306 validation=21.995339 best_epoch=9
epoch=93/100 train=0.817790 validation=21.992582 best_epoch=9
epoch=94/100 train=0.817636 validation=21.962975 best_epoch=9
epoch=95/100 train=0.818154 validation=21.744928 best_epoch=9
epoch=96/100 train=0.816865 validation=21.636197 best_epoch=9
epoch=97/100 train=0.819999 validation=21.730428 best_epoch=9
epoch=98/100 train=0.822198 validation=21.553758 best_epoch=9
epoch=99/100 train=0.820789 validation=21.239073 best_epoch=9
epoch=100/100 train=0.817005 validation=21.809100 best_epoch=9
results=/root/workspace/Code/DualTimesField-fixed-origin/outputs/forecasting/fixed_origin_extended/TAS1
