epoch=1/30 train=1.031702 validation=21.233883 best_epoch=1
epoch=2/30 train=0.926956 validation=21.200955 best_epoch=2
epoch=3/30 train=0.922437 validation=21.632475 best_epoch=2
epoch=4/30 train=0.920120 validation=21.532721 best_epoch=2
epoch=5/30 train=0.919720 validation=21.780588 best_epoch=2
epoch=6/30 train=0.918606 validation=22.396951 best_epoch=2
epoch=7/30 train=0.918366 validation=21.662034 best_epoch=2
epoch=8/30 train=0.917647 validation=21.600378 best_epoch=2
epoch=9/30 train=0.917384 validation=21.783315 best_epoch=2
epoch=10/30 train=0.916676 validation=22.032094 best_epoch=2
epoch=11/30 train=0.916577 validation=21.978037 best_epoch=2
epoch=12/30 train=0.916110 validation=22.233530 best_epoch=2
epoch=13/30 train=0.916237 validation=22.207879 best_epoch=2
epoch=14/30 train=0.915875 validation=21.886095 best_epoch=2
epoch=15/30 train=0.915438 validation=22.164048 best_epoch=2
epoch=16/30 train=0.915336 validation=21.654712 best_epoch=2
epoch=17/30 train=0.914978 validation=21.777472 best_epoch=2
epoch=18/30 train=0.914835 validation=21.756039 best_epoch=2
epoch=19/30 train=0.914660 validation=22.706039 best_epoch=2
epoch=20/30 train=0.914424 validation=21.959195 best_epoch=2
epoch=21/30 train=0.914228 validation=21.944841 best_epoch=2
epoch=22/30 train=0.913963 validation=22.170024 best_epoch=2
epoch=23/30 train=0.913863 validation=22.344776 best_epoch=2
epoch=24/30 train=0.913499 validation=21.766786 best_epoch=2
epoch=25/30 train=0.913695 validation=21.733529 best_epoch=2
epoch=26/30 train=0.913186 validation=22.031660 best_epoch=2
epoch=27/30 train=0.913199 validation=21.747783 best_epoch=2
epoch=28/30 train=0.912862 validation=21.845466 best_epoch=2
epoch=29/30 train=0.912530 validation=21.971997 best_epoch=2
epoch=30/30 train=0.912223 validation=21.986385 best_epoch=2
results=/root/workspace/Code/DualTimesField/outputs/forecasting/TAS1
