epoch=1/30 train=1.643113 validation=1.918209 best_epoch=1
epoch=2/30 train=1.554304 validation=1.918089 best_epoch=2
epoch=3/30 train=1.540785 validation=1.868502 best_epoch=3
epoch=4/30 train=1.535969 validation=1.854064 best_epoch=4
epoch=5/30 train=1.538647 validation=1.859709 best_epoch=4
epoch=6/30 train=1.528834 validation=1.850777 best_epoch=6
epoch=7/30 train=1.524515 validation=1.805306 best_epoch=7
epoch=8/30 train=1.524760 validation=1.816792 best_epoch=7
epoch=9/30 train=1.521998 validation=1.765708 best_epoch=9
epoch=10/30 train=1.523235 validation=1.762864 best_epoch=10
epoch=11/30 train=1.513134 validation=1.812270 best_epoch=10
epoch=12/30 train=1.504861 validation=1.798027 best_epoch=10
epoch=13/30 train=1.506749 validation=1.801241 best_epoch=10
epoch=14/30 train=1.510076 validation=1.809538 best_epoch=10
epoch=15/30 train=1.505003 validation=1.832910 best_epoch=10
epoch=16/30 train=1.498377 validation=1.863909 best_epoch=10
epoch=17/30 train=1.492697 validation=2.003798 best_epoch=10
epoch=18/30 train=1.487482 validation=1.892887 best_epoch=10
epoch=19/30 train=1.487203 validation=1.923995 best_epoch=10
epoch=20/30 train=1.477393 validation=1.983295 best_epoch=10
epoch=21/30 train=1.479945 validation=2.118542 best_epoch=10
epoch=22/30 train=1.480232 validation=2.016037 best_epoch=10
epoch=23/30 train=1.474139 validation=2.134433 best_epoch=10
epoch=24/30 train=1.472405 validation=2.129175 best_epoch=10
epoch=25/30 train=1.464864 validation=2.040223 best_epoch=10
epoch=26/30 train=1.461369 validation=2.214228 best_epoch=10
epoch=27/30 train=1.465998 validation=2.126780 best_epoch=10
epoch=28/30 train=1.459725 validation=2.109119 best_epoch=10
epoch=29/30 train=1.465140 validation=2.370605 best_epoch=10
epoch=30/30 train=1.457912 validation=2.679567 best_epoch=10
results=/root/workspace/Code/DualTimesField-time-weighted/outputs/forecasting/time_weighted/NSW1
