epoch=1/30 train=1.627492 validation=6.245990 best_epoch=1
epoch=2/30 train=1.535186 validation=6.234284 best_epoch=2
epoch=3/30 train=1.534736 validation=6.197637 best_epoch=3
epoch=4/30 train=1.526124 validation=6.111930 best_epoch=4
epoch=5/30 train=1.512358 validation=6.158559 best_epoch=4
epoch=6/30 train=1.514783 validation=6.127727 best_epoch=4
epoch=7/30 train=1.500733 validation=6.123937 best_epoch=4
epoch=8/30 train=1.507561 validation=6.132384 best_epoch=4
epoch=9/30 train=1.502673 validation=6.147752 best_epoch=4
epoch=10/30 train=1.497169 validation=6.189298 best_epoch=4
epoch=11/30 train=1.502421 validation=6.182042 best_epoch=4
epoch=12/30 train=1.487362 validation=6.214120 best_epoch=4
epoch=13/30 train=1.483762 validation=6.240174 best_epoch=4
epoch=14/30 train=1.487449 validation=6.220568 best_epoch=4
epoch=15/30 train=1.484961 validation=6.278301 best_epoch=4
epoch=16/30 train=1.489196 validation=6.238069 best_epoch=4
epoch=17/30 train=1.481241 validation=6.248543 best_epoch=4
epoch=18/30 train=1.477843 validation=6.382155 best_epoch=4
epoch=19/30 train=1.467660 validation=6.336012 best_epoch=4
epoch=20/30 train=1.474580 validation=6.383620 best_epoch=4
epoch=21/30 train=1.481889 validation=6.346427 best_epoch=4
epoch=22/30 train=1.477355 validation=6.324334 best_epoch=4
epoch=23/30 train=1.473631 validation=6.341765 best_epoch=4
epoch=24/30 train=1.477011 validation=6.441400 best_epoch=4
epoch=25/30 train=1.463156 validation=6.378313 best_epoch=4
epoch=26/30 train=1.466483 validation=6.310804 best_epoch=4
epoch=27/30 train=1.472625 validation=6.484375 best_epoch=4
epoch=28/30 train=1.462963 validation=6.322879 best_epoch=4
epoch=29/30 train=1.464589 validation=6.265919 best_epoch=4
epoch=30/30 train=1.463667 validation=6.980402 best_epoch=4
results=/root/workspace/Code/DualTimesField-time-weighted/outputs/forecasting/time_weighted/QLD1
