epoch=1/30 train=1.014748 validation=21.177663 best_epoch=1
epoch=2/30 train=0.922429 validation=21.150181 best_epoch=2
epoch=3/30 train=0.919438 validation=21.717916 best_epoch=2
epoch=4/30 train=0.918821 validation=21.645694 best_epoch=2
epoch=5/30 train=0.919512 validation=22.078232 best_epoch=2
epoch=6/30 train=0.919205 validation=22.832784 best_epoch=2
epoch=7/30 train=0.916625 validation=21.930903 best_epoch=2
epoch=8/30 train=0.915925 validation=21.845238 best_epoch=2
epoch=9/30 train=0.915221 validation=22.057221 best_epoch=2
epoch=10/30 train=0.913835 validation=22.749446 best_epoch=2
epoch=11/30 train=0.916621 validation=22.685311 best_epoch=2
epoch=12/30 train=0.913664 validation=22.656195 best_epoch=2
epoch=13/30 train=0.915194 validation=22.332468 best_epoch=2
epoch=14/30 train=0.915766 validation=22.081762 best_epoch=2
epoch=15/30 train=0.915603 validation=22.611605 best_epoch=2
epoch=16/30 train=0.916079 validation=21.793603 best_epoch=2
epoch=17/30 train=0.912991 validation=22.278264 best_epoch=2
epoch=18/30 train=0.912745 validation=22.220477 best_epoch=2
epoch=19/30 train=0.913728 validation=23.072698 best_epoch=2
epoch=20/30 train=0.913087 validation=22.367030 best_epoch=2
epoch=21/30 train=0.912987 validation=22.369560 best_epoch=2
epoch=22/30 train=0.911343 validation=22.152859 best_epoch=2
epoch=23/30 train=0.913863 validation=23.470379 best_epoch=2
epoch=24/30 train=0.912358 validation=22.226914 best_epoch=2
epoch=25/30 train=0.911702 validation=22.516721 best_epoch=2
epoch=26/30 train=0.910317 validation=22.577713 best_epoch=2
epoch=27/30 train=0.911851 validation=22.197482 best_epoch=2
epoch=28/30 train=0.910887 validation=22.625059 best_epoch=2
epoch=29/30 train=0.911753 validation=22.648944 best_epoch=2
epoch=30/30 train=0.913905 validation=22.363650 best_epoch=2
results=/root/workspace/Code/DualTimesField-time-weighted/outputs/forecasting/time_weighted/TAS1
