epoch=1/30 train=1.354172 validation=6.444607 best_epoch=1
epoch=2/30 train=1.254909 validation=6.437685 best_epoch=2
epoch=3/30 train=1.233481 validation=6.306958 best_epoch=3
epoch=4/30 train=1.220279 validation=6.234056 best_epoch=4
epoch=5/30 train=1.206836 validation=6.346081 best_epoch=4
epoch=6/30 train=1.199560 validation=6.253956 best_epoch=4
epoch=7/30 train=1.188048 validation=6.327644 best_epoch=4
epoch=8/30 train=1.180412 validation=6.262267 best_epoch=4
epoch=9/30 train=1.171700 validation=6.392224 best_epoch=4
epoch=10/30 train=1.165347 validation=6.631076 best_epoch=4
epoch=11/30 train=1.160423 validation=6.504554 best_epoch=4
epoch=12/30 train=1.152764 validation=6.613595 best_epoch=4
epoch=13/30 train=1.145773 validation=6.641236 best_epoch=4
epoch=14/30 train=1.142219 validation=6.604137 best_epoch=4
epoch=15/30 train=1.132794 validation=6.807757 best_epoch=4
epoch=16/30 train=1.126835 validation=6.841694 best_epoch=4
epoch=17/30 train=1.118686 validation=6.967287 best_epoch=4
epoch=18/30 train=1.112039 validation=7.492624 best_epoch=4
epoch=19/30 train=1.101946 validation=7.620553 best_epoch=4
epoch=20/30 train=1.096564 validation=8.068509 best_epoch=4
epoch=21/30 train=1.087425 validation=7.729433 best_epoch=4
epoch=22/30 train=1.071095 validation=7.434041 best_epoch=4
epoch=23/30 train=1.061106 validation=7.393755 best_epoch=4
epoch=24/30 train=1.048165 validation=8.161104 best_epoch=4
epoch=25/30 train=1.031473 validation=7.328063 best_epoch=4
epoch=26/30 train=1.031946 validation=6.897131 best_epoch=4
epoch=27/30 train=1.019838 validation=7.836174 best_epoch=4
epoch=28/30 train=1.009674 validation=7.829457 best_epoch=4
epoch=29/30 train=1.000895 validation=8.411002 best_epoch=4
epoch=30/30 train=0.998707 validation=7.640714 best_epoch=4
results=/root/workspace/Code/DualTimesField-trigonometric-gate/outputs/forecasting/trigonometric_gate/QLD1
