epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
0,1.3920319190986117,0.9507369452773822,0.04679465084975459,0.39171794744107014,0.027409810051152964,2.7549643908723196,2.0701680172205355,1.387244465132934,0.21267319633819984,0.4680071250277907,0.03622628751593439,2.207034044548455,75.41367630494473,194.1901280031399,0.42450688642173134,98.60561785545669,0.5122610735950555,125.87221926892573,1.0,0.2967017120172711,0.16869836682503048
1,1.2885364016607888,0.906167778008802,0.04292850347816027,0.33759430585558237,0.033354323365916226,1.8124613156915634,2.2790307898457707,1.5922191347958834,0.22067352906261756,0.46467564369525083,0.03737672765259477,1.42513761613712,88.16034221267132,208.04250435581227,0.4536120331158674,100.89077114346672,0.5723217351493648,139.5030609837592,1.0,0.23190343032957128,0.197107234578524
2,1.2599172650918502,0.8771529438862449,0.04331260836411096,0.33822564882488376,0.03421340147271511,1.1918457579519735,2.705753629852572,1.9469783867938413,0.2691935092070917,0.4884794045760298,0.04585477317009397,1.0564528661665469,117.2679749571387,230.0547563074796,0.19588150013353173,78.52543000642622,0.3256886421731334,112.04821381946034,1.0,0.21184604487007264,0.23290230695212374
3,1.2310196859233888,0.8503637577463924,0.04216551628984766,0.33775892651205797,0.034735004941207855,0.6967542741425252,2.404982772286006,1.72613942908302,0.21005712247872443,0.46818751119750035,0.038215572195236545,0.5604693651049255,99.75988473797976,216.6150345531453,0.41920853839990846,109.25648331166424,0.5404219602456983,148.66927783778758,1.0,0.2136836968897475,0.2450703250966846
4,1.1911044436589202,0.8106015785209753,0.041206816273813,0.3388416106280018,0.03560557954578528,0.41883192465173535,2.4851185456523774,1.7974354215379886,0.2183039366369207,0.46901571774262374,0.03867062455674454,0.3247540250473442,101.90897955757482,221.04327144938915,0.3688909236580062,96.4937077460024,0.5124661401701576,137.86490293018676,1.0,0.2770440019565972,0.30050089296211846
5,1.1427190030677359,0.7649513380013931,0.04017703970023739,0.33725584504198614,0.035742970800320205,0.2990377462593328,2.5017309710681883,1.810034211893417,0.2278994632936239,0.4634703144066985,0.03818429659707119,0.28880643917942017,103.5438191391794,221.81660261077826,0.3388081339895464,90.6307845055809,0.4873764831559269,131.6100010417263,1.0,0.2723258404969954,0.3095717058134393
6,1.1167530623942314,0.7398370242747441,0.03972793189792949,0.33687175210684067,0.035029155333853326,0.2813280077191721,2.4875436210500657,1.7989697803284717,0.21963790576204467,0.46860964034216157,0.03864044681915439,0.28766170431632426,103.98437735655176,221.13759649727666,0.3255837243905231,86.5651149714099,0.4925508374346648,130.3938821829933,1.0,0.2169995476041016,0.27445605010112967
7,1.0707414454589141,0.6954285820870616,0.03850784468513997,0.336480966238527,0.035543617378558746,0.2885069302194234,2.4777664570185824,1.7898453121444815,0.22370294720630318,0.46389246844987486,0.039093868873473624,0.28661348972684036,105.40194727180979,220.57608007556755,0.33324272252107895,89.2776845465048,0.47284537026439283,131.18032278164463,1.0,0.22222191868196556,0.2902383494471794
8,1.0373468363522227,0.6647971759827225,0.03741922411111478,0.33481681889505405,0.03529609649987512,0.27832411302300814,2.426665092353364,1.7399317833853045,0.21830864760355723,0.46808640559636594,0.03955204122018334,0.298755350365469,102.30735078537816,217.47871865466914,0.3523043760253329,85.66046852570844,0.49675708671931634,132.66196596997682,1.0,0.18010561633236527,0.2596434842849026
9,1.0176744591586087,0.6453770906004999,0.03729099506352111,0.3346965556821919,0.03515680391862063,0.27465822643552995,2.370827714693114,1.6932433704949323,0.20728708306792004,0.46998488442170494,0.03743474940821926,0.2749667852226706,97.80874581744663,214.54102003407075,0.3910190378085537,89.1934143674173,0.5345513334096372,134.9067711612014,1.0,0.20634195955128498,0.2849459603795114
