epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,146300,0,0.0003,0.7422193814926713,0.4068840577158297,0.12371214243383796,0.20856216411472248,0.023728204346485426,3.037289628823321,1.1302726800823506,0.7470114230768514,0.18180490588656112,0.19889760258385528,0.04113346937337319,2.5176258966935587,65.79587286006472,187.00557031426723,0.5625453054061272,123.68442124430106,0.833667162641639,264.3324967854026,1.0,0.6491539525692822,0.2367670310777608,1.1302726800823506,65.79587286006472,187.00557031426723
1,training,146300,1,0.0003,0.5679031082205726,0.3184613153741403,0.10259345989906153,0.14498181339980334,0.028060833710709634,1.838458270200767,1.1396718252724392,0.760056488646568,0.18375558523198784,0.19472503809296077,0.038662496010621626,1.096046110824274,67.44283776670578,188.25520127265992,0.5795181412384114,135.10545028879216,0.8279920644004426,266.0527589651053,1.0,0.5784194120797365,0.25473635897756003,1.1396718252724392,67.44283776670578,188.25520127265992
2,training,146300,2,0.0003,0.5581996300137103,0.31239723735355424,0.10064530257236737,0.1445856805796987,0.027918439225719877,0.5434897735508442,1.1517271004089356,0.7740629161674479,0.18452949174191077,0.19280118353923262,0.03776603279413805,0.2957407144410285,67.84188140348697,188.11415154021603,0.5918316737247721,143.40441390154658,0.8249494487047423,283.59942599242686,1.0,0.5233865347654816,0.2643249553473723,1.1517271004089356,67.84188140348697,188.11415154021603
3,training,146300,3,0.0003,0.5539397863560561,0.30949123099789444,0.09967785297060189,0.14445168736813757,0.027899924138143177,0.2911135854618033,1.1785189319737541,0.7927982108781549,0.193058560681354,0.19234055431624278,0.03739158175924052,0.28420670908185347,69.57978581012325,189.84896019396527,0.5521441379573462,129.74217606187526,0.7929972149097707,251.04033939710428,1.0,0.4449810532947593,0.27796679968439575,1.1785189319737541,69.57978581012325,189.84896019396527
4,training,146300,4,0.0003,0.5503494213545046,0.3066635304196504,0.09899710240829138,0.1443793196880148,0.027892339016370407,0.28157699194505914,1.153061343239499,0.7733518625064342,0.18648166439619737,0.1929171081110912,0.03753191760626158,0.2731914172234491,68.20201829623059,187.84022407711774,0.5746394643470298,138.18574927764703,0.8076046316432033,267.98625822948856,1.0,0.42363464092335995,0.2827319741220182,1.153061343239499,68.20201829623059,187.84022407711774
5,training,146300,5,0.0003,0.5482406515120495,0.305012095763533,0.09857096445796255,0.14436093045032375,0.027863135875035507,0.268796627442876,1.300013135012192,0.8926271696282808,0.2139340042351612,0.1931525845448581,0.03618982407922424,0.2631983697052827,76.15911448646322,196.85977586457656,0.4854927320590592,107.36915506237243,0.7332465377131738,206.87721545671425,1.0,0.3616188380852035,0.28895755992230987,1.300013135012192,76.15911448646322,196.85977586457656
6,training,146300,6,0.0003,0.5460797978225144,0.3031776755186813,0.09822608460275112,0.14439349596059886,0.027910254399330307,0.2546347749318266,1.1594930815658513,0.7758260927007116,0.19134824821840396,0.1920360294003856,0.03767147886578437,0.2450404602186186,69.02452482974705,188.29480777343028,0.5489441455877303,130.21105882981502,0.7876988668879478,255.0656821459144,1.0,0.3642285303941991,0.29344626208804453,1.1594930815658513,69.02452482974705,188.29480777343028
7,training,146300,7,0.0003,0.5444899664062838,0.30186835583033406,0.09798504072725515,0.14436817480233227,0.027895078897588552,0.24050045752612684,1.1803938295511847,0.7974365695575917,0.18952484607792042,0.19315757887019874,0.037938037483646055,0.23689446108891352,70.79798870822364,190.68418009630687,0.5402502766014269,121.49694795809727,0.784608561291061,238.07752306402847,1.0,0.3359660230522131,0.2931088135509889,1.1803938295511847,70.79798870822364,190.68418009630687
8,training,146300,8,0.0003,0.5427447402564619,0.3003987071004319,0.09773551860575776,0.14435461675125807,0.02787720384793505,0.22802039237155708,1.2324490291488053,0.840904313338844,0.19878990179691214,0.192491208420911,0.03795782103580264,0.22564797762589936,73.25444249592698,192.87235270011834,0.5126759757353783,116.26165224494248,0.7670539086643012,230.11534883076285,1.0,0.32760165369063576,0.2965925556967954,1.2324490291488053,73.25444249592698,192.87235270011834
9,training,146300,9,0.0003,0.5415286568878365,0.29935710616051675,0.09755987728132628,0.14436675729827542,0.02787509648709025,0.2170396472359467,1.202371105901352,0.813970603140047,0.19615816005248835,0.19198876846344204,0.037404077657780574,0.2161759721413485,71.56039868235784,191.22286910567433,0.525867002403571,122.12097445073157,0.770406508717714,237.3827430515814,1.0,0.3151429395983836,0.296665256078956,1.202371105901352,71.56039868235784,191.22286910567433
10,training,146300,10,0.0003,0.5409284399408409,0.2988039223911374,0.09749869626950076,0.14439254948211844,0.027894383161611216,0.20538148893910654,1.1913315113559255,0.8051016665615642,0.19450688711753955,0.1914801696771422,0.03681618036463289,0.20598523757257708,71.69939646939739,191.8295174271437,0.5207355690359009,117.13640733121947,0.7674163519133188,227.12875170491398,1.0,0.30888147620824413,0.29987367250907054,1.1913315113559255,71.69939646939739,191.8295174271437
11,training,146300,11,0.0003,0.5394740835752191,0.29761761634417877,0.0972364523100269,0.14439495602317756,0.027859158931537186,0.19720008661935384,1.1911585973877377,0.8050071030183202,0.19234296359199402,0.1935773590575152,0.03674303778125613,0.1944257059750983,71.80714189057075,191.83568579885937,0.5276458357178284,116.57937667361747,0.7724667124489718,227.44970079057933,1.0,0.3003887030830105,0.2966630649339129,1.1911585973877377,71.80714189057075,191.83568579885937
