epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,146300,0,0.0003,0.6612759476161475,0.40769510155846855,0.04345420430938657,0.20707721630160553,0.023754491549624657,3.0256690266195663,1.1049113742298537,0.7178446968892244,0.18603286449592255,0.19852424583262324,0.04073200392408585,2.468823321176446,63.108058060144714,184.02551489643992,0.4099805425203159,68.06562182564095,0.6125004768990119,121.66624788972187,1.0,0.5327162922899978,0.2513353359042262,1.1049113742298537,63.108058060144714,184.02551489643992
1,training,146300,1,0.0003,0.5042988221074688,0.3184821701451754,0.03947033812726552,0.14459661702008914,0.028017761490759616,1.7216792468090953,1.1082898470948022,0.7282856801861386,0.18443232425016848,0.19467572652121573,0.03845439147243814,0.8576668426539432,64.985345228685,185.71066269728004,0.4398439586433177,75.19305814621008,0.6207174468734501,125.50752487028348,1.0,0.4730119964621731,0.24069130793893923,1.1082898470948022,64.985345228685,185.71066269728004
2,training,146300,2,0.0003,0.4957151272057876,0.3119835867424066,0.03894880415796562,0.14434591930050078,0.027903792120259365,0.40891380863458726,1.1240335304349323,0.7386283083899119,0.1919470913998149,0.19312800489186122,0.037909943484647386,0.29221892978024316,65.14951500301936,185.37963135268797,0.4303632062874366,75.12185697470765,0.5963431383770172,121.30477621066775,1.0,0.43897385997640503,0.24115263744891408,1.1240335304349323,65.14951500301936,185.37963135268797
3,training,146300,3,0.0003,0.4922322223222797,0.3088752839646134,0.03875736997756936,0.1442841020296664,0.027888584470720887,0.28757740180852676,1.1514475249965799,0.7624970024710214,0.1962874676071596,0.19234768939029165,0.03762441735488266,0.27774295215613787,67.41523766485803,188.00741272739145,0.4199954217694861,71.56515122318635,0.5906346572049903,117.5848808333691,1.0,0.37431086069806874,0.2525672438127804,1.1514475249965799,67.41523766485803,188.00741272739145
4,training,146300,4,0.0003,0.48922970512736536,0.30615757210011907,0.03852604320970919,0.14424435788760048,0.027869725603502482,0.2738630062525252,1.135387490621704,0.7526812282363924,0.18934747015724154,0.1930579649981828,0.03749182245899723,0.26333391502682074,66.70199911781134,187.00601325716562,0.4476174125367212,75.59805520582961,0.6097487696005494,121.56256020850024,1.0,0.3695215686065894,0.26094339988202137,1.135387490621704,66.70199911781134,187.00601325716562
5,training,146300,5,0.0003,0.48752944983182406,0.3046307273662285,0.038396785554794345,0.1442167438469286,0.027831925363184653,0.257362494290983,1.2575233132789811,0.8599868402459794,0.20333139214882578,0.19391941036391588,0.03630852859684296,0.24934377115447093,74.51936084243316,195.6638852545145,0.4079823356606005,66.96395578639455,0.5701661516157338,109.302158966536,1.0,0.32755724305230793,0.2765153019285958,1.2575233132789811,74.51936084243316,195.6638852545145
6,training,146300,6,0.0003,0.48573550799200643,0.3029068941948255,0.03830911556863345,0.1442515594178308,0.027868259938974353,0.2400714962711015,1.135657423357403,0.7494486139338309,0.1944634713329732,0.19147959570017206,0.038035097112095684,0.22771205825828586,67.23248739272753,187.0883112614038,0.4337587272519171,71.34159320558997,0.5973923162031208,116.49032394259567,1.0,0.34256159300060257,0.2842466916929554,1.135657423357403,67.23248739272753,187.0883112614038
7,training,146300,7,0.0003,0.4844279191467451,0.30176663540767357,0.03819969884574957,0.14420993774745072,0.02785332019306177,0.22379599137033293,1.1504028293460733,0.7608621465105124,0.19668186060070336,0.19260537267904662,0.0383544406921091,0.21509977844803316,68.46676128920556,188.84508896607497,0.43498435771241084,71.89650935631153,0.5960808439204914,116.14586716335698,1.0,0.3179780690037196,0.2882911037162461,1.1504028293460733,68.46676128920556,188.84508896607497
8,training,146300,8,0.0003,0.48304026950225326,0.30049868625481146,0.03811303126207987,0.1441902115104707,0.027845480297832487,0.21049638243856822,1.186133107127185,0.796433195316561,0.19648710289462434,0.19296861448215105,0.03815867779636814,0.20603916635021569,70.78115186312522,190.96544144922942,0.4362481400938537,73.03241335415593,0.6001630994620579,119.22062078540499,1.0,0.3131935841060914,0.29742482392416647,1.186133107127185,70.78115186312522,190.96544144922942
9,training,146300,9,0.0003,0.4820249171300833,0.29954913853937515,0.03804274327285602,0.14420561160314482,0.027838729513896664,0.19958429955945686,1.175093900854478,0.7858232461479718,0.19717307457770938,0.19186432958092667,0.03793508472995353,0.19532307960272954,69.97029782604095,190.19134973536293,0.4287751325779253,71.52852027476537,0.593534203197131,115.31286698869272,1.0,0.308746133991847,0.29808067708144376,1.175093900854478,69.97029782604095,190.19134973536293
