epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,146300,0,0.0003,0.6375817160739031,0.3415046130908724,0.09451834074358241,0.19847703088529875,0.013959068202225615,3.067773784899368,1.4400261644744294,0.868449230744362,0.3659059232514647,0.20299125159101955,0.026264366713088464,2.6535090590227357,59.64829212031685,271.1922319869625,0.354169051161726,54.45994355676648,0.5855699896989813,103.55561298214491,1.0,0.5704843486843958,0.17181502389458453,1.4400261644744294,59.64829212031685,271.1922319869625
1,training,146300,0,0.0003,0.5014456870089998,0.27583689622651164,0.08475584592846822,0.13887782563102574,0.01810066494058673,1.9570185826982842,1.4183711701690898,0.858602172684121,0.35605409170179125,0.20251431798544714,0.02660037709095835,1.1739749983353869,58.71148856053399,270.6377437543938,0.3666161153714089,55.88560982939534,0.5956659417801686,105.01527082796822,1.0,0.5444524618821699,0.17956688569949988,1.4183711701690898,58.71148856053399,270.6377437543938
2,training,146300,1,0.0003,0.49558472282239846,0.27278108124073586,0.08349293417013999,0.13879260100392554,0.018197244576115275,0.49990900363368496,1.457815084551406,0.8701394983109257,0.38554995394479946,0.20178737319964107,0.02524762108211654,0.31301589352295656,61.45634376095377,272.1541352809572,0.3425565602228072,53.79310023254788,0.5577429323566442,98.59563665720022,1.0,0.5028882468562202,0.1714003206450894,1.457815084551406,61.45634376095377,272.1541352809572
3,training,146300,2,0.0003,0.49291227412669736,0.27107104142076627,0.08284869038367823,0.13868492056669443,0.018248368665498647,0.28937309800624234,1.442231875982767,0.8686232150958579,0.37125309340504864,0.2020455090312209,0.025614781427778423,0.28443051481514375,59.57447485967246,270.8218954428704,0.35466502613406586,53.579521773867604,0.5794275304261569,101.39490442347679,1.0,0.4989469872468449,0.17423745725996906,1.442231875982767,59.57447485967246,270.8218954428704
4,training,146300,3,0.0003,0.4914626162385193,0.2700993814699203,0.08247767769527041,0.13859735563894252,0.01830568223619068,0.2698964254676692,1.4265120730487955,0.8651703395920732,0.35995901465506347,0.2010906990184737,0.02600571283313998,0.2660064132055047,59.66552985864713,270.90498293710937,0.37290164434779294,56.99698350197674,0.5955133340963717,105.87378278978768,1.0,0.4822439965295444,0.16701438767734506,1.4265120730487955,59.66552985864713,270.90498293710937
5,training,146300,4,0.0003,0.49031383542686663,0.2693182689936813,0.08217015216386372,0.13855701765497286,0.018312178715667583,0.2500826155914372,1.4515848232001916,0.8803232898459195,0.36987807419540353,0.20111074201490645,0.02599297920377328,0.24670977830968707,60.78924092729436,271.496899081226,0.36539048491091525,57.115339497700155,0.5851455495784212,104.53597185908349,1.0,0.4610324065127043,0.165681437438632,1.4515848232001916,60.78924092729436,271.496899081226
6,training,146300,5,0.0003,0.4896903386783038,0.26893889211457356,0.08197966459363686,0.13852217853946747,0.018375270220063484,0.23122943063840312,1.4325250711718835,0.8674308944719941,0.36423305496940134,0.20060835133172478,0.026153221682073922,0.22662649196823634,59.43806424045785,270.77278238564736,0.3737028346877265,57.96712485484386,0.5960379230094235,105.90289415852362,1.0,0.4600237068873979,0.16844218886183315,1.4325250711718835,59.43806424045785,270.77278238564736
7,training,146300,6,0.0003,0.4891802558648262,0.2686430159040291,0.08180358492024872,0.13850127382827512,0.01838043304099287,0.21400046570120548,1.4449374430564634,0.8766694570605564,0.3672875246627661,0.20074556118306516,0.026303356093182587,0.20857020096312512,59.532347342763416,270.8051694476075,0.37461371180038916,57.69760867559779,0.5954227232841174,106.46690376744259,1.0,0.4625628908243289,0.17428033372183419,1.4449374430564634,59.532347342763416,270.8051694476075
8,training,146300,7,0.0003,0.48857819963792976,0.26824301111982785,0.08163388734005038,0.13848519260591344,0.018406312608164197,0.197704972105377,1.4251674661084308,0.8735739395979191,0.35093841246712243,0.20043568353201605,0.025943194297376303,0.19349546077132185,60.10289259183585,270.9263551262983,0.3963030788600206,62.199537340894565,0.6250953798023731,112.89053103599157,1.0,0.45210229932527357,0.16988025344473626,1.4251674661084308,60.10289259183585,270.9263551262983
9,training,146300,8,0.0003,0.48813877963619773,0.2679642281399232,0.08149187692122448,0.13848121222932114,0.018408964784522586,0.18305350404144036,1.4392837341288565,0.8754553378167272,0.36241238018229416,0.20121144258441812,0.025913502954486387,0.1786513965718872,60.30416137886258,271.10545602685164,0.379253939185838,60.01510730376798,0.603262943039182,109.431538576063,1.0,0.42854290176641346,0.17334657510426718,1.4392837341288565,60.30416137886258,271.10545602685164
