epoch,train_origin_hour,train_samples,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,0,2554,2.03014319682364,0.9867089028085875,0.19361323075034978,0.8469508038243,0.0004800897785925548,2.8697843637518705,28.05040548562567,19.14358792482401,0.6147718429318129,8.289138286816346,0.0036267320077331315,2.9031965763956102,105.92390858307938,300.7434286973798,0.2318873755293579,43.117859573658244,0.43913814810575713,95.6969490087654
1,1,2553,1.498197833977164,0.7950985785143262,0.13610946825682488,0.563937036700684,0.003105466760209073,3.049655062798374,24.38201735825919,16.97371669045415,0.44611060120914925,6.95902050911009,0.02214620751400718,3.1476291486705836,83.08473278044345,283.18675679306847,0.2892964785776964,55.87103946547966,0.5399069093128839,123.41628153345685
2,2,2553,1.1354134168477326,0.6279147273995481,0.10491600653096082,0.3993613329579958,0.010264434747009757,3.211091595540269,22.87739773454008,16.541503145794472,0.37938446613727694,5.953294595755715,0.05657756668824097,3.1591406692093593,72.80995464466851,279.5580219370549,0.3450650490252184,59.34922064641873,0.6342804547708977,131.5300525363874
3,3,2553,1.0346366834556453,0.6067543230101589,0.09785145426900817,0.3267733545873943,0.0171582926702392,3.2403864800766593,22.136899604211482,16.242602165897992,0.3675382225337721,5.523508899545757,0.08190682239089017,3.1687389602783385,70.24184861295413,277.02074362119777,0.32618461714547325,55.39705404577277,0.6136211895768952,123.21138272993686
4,4,2553,0.9889415990031564,0.5972862739540575,0.09393807347678597,0.2944666889780323,0.020584046445959136,3.2299762533264817,21.767115573435117,16.103371924378855,0.362996698157512,5.297462769082103,0.10994720339640349,3.1754588272528723,68.84129564668699,275.83087934517096,0.3106853992598527,53.63197209589366,0.596991721033154,118.82358935507754
5,5,2553,0.9618613186229971,0.589772174802426,0.09199393483712727,0.2768684299936306,0.0221668601632877,3.2046203871964942,21.563655945731337,16.019507426345147,0.3577585827435156,5.183073526796875,0.13864302815221566,3.1778748622131086,68.23135626651263,275.1116922730142,0.30794799893174624,52.481629421598996,0.5923514936477051,117.96993993755008
6,6,2553,0.9521115913467691,0.5863476587285072,0.09047589436190949,0.27207606218396285,0.023644762209266763,3.1883350482325064,21.484252098541422,15.983736526886618,0.35445975064822,5.142718854286625,0.16063589403141215,3.175113235060814,67.78107683536075,274.80437303070084,0.31021326923810616,53.82120167448185,0.5942304757544542,119.67369474230762
7,7,2553,0.9494551916566961,0.5839941423638774,0.08976904539514699,0.27250728592469187,0.02339559689213774,3.161317812336504,21.40798540015822,15.936343082906358,0.34458243511416786,5.123738854692022,0.16942862932909997,3.1515863475775547,66.73763778096803,274.396653801626,0.3247253061691656,55.02304845472798,0.6095627789859219,121.88948986857855
8,8,2553,0.9460029055032831,0.5834387622998362,0.08919314462567515,0.2702249119994316,0.02248504497782067,3.123599282909831,21.385346617195335,15.924498009752652,0.3428911715029606,5.1146632524217255,0.17661347982282974,3.116686766243396,66.41633384331722,274.2946588073305,0.32889817252298653,56.79398693870477,0.6134018160314372,124.2040454150929
9,9,2553,0.9375946211712154,0.5795764983330715,0.08927582308819282,0.2656401720436423,0.021687738325985282,3.080443695858792,21.350339787795285,15.899267750130996,0.33655772074635765,5.1112660536664265,0.17665984355012582,3.071121983824489,65.90141664714362,274.0772737170345,0.337716035252375,58.14061127052454,0.6274464919308688,126.99543812563189
