epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,9.234136606070935,8.626944043539318,0.2337735368020133,0.3718883371084859,0.04945628300791068,1.4812053375240015,11.266731688622084,10.738518149759017,0.24339702926065332,0.28446689402093817,0.058504927174728744,0.29062967202108647,129.13413036198423,480.68570753767983,0.6508050055320286,257.47556168271433,0.8959835565220708,529.1211884964209
1,9.022034983068172,8.498741817418333,0.21536938527528543,0.30759515876172583,0.053491627935465996,0.2750633692066485,11.239632181844573,10.717427026404113,0.24092806154780821,0.2809627349787437,0.05365213356281945,0.26091606294357,128.92926425212696,478.2025456134443,0.6477862347869215,254.60260348112433,0.89290755789554,518.920964309176
2,9.00644053483728,8.486444905718129,0.21330638540623217,0.3063956928967577,0.0518646969119496,0.2416839710682888,11.22024070063308,10.69878424074566,0.23984763940483506,0.28132696674288826,0.05626327827908811,0.2257250270790157,132.27610383119801,484.9369885903846,0.6528461333028118,261.6193876810428,0.8941665712868643,520.5886422252943
3,8.998272346500443,8.4803424662005,0.21209886407075124,0.30556923140267106,0.05134423570575356,0.21043263207153456,11.218912659090362,10.697425564666819,0.23928097787128647,0.2819515005371466,0.05274421649809027,0.2017499862314021,129.82335170195572,481.4483454716142,0.6582160161764145,261.87213605377394,0.8945957803975431,520.0421776192486
4,8.993071618037416,8.475823672191362,0.21148408653360704,0.3055200731204881,0.05114611088221549,0.19264469685225785,11.220309416840767,10.699895186170883,0.23856411262096522,0.28160960664376794,0.05294009325459823,0.1878693909906094,127.04326327239757,475.30531069224156,0.6604669795124184,258.01501158864596,0.8929457098164892,510.13554200168824
5,8.987026648533641,8.470251545821942,0.21096782281997495,0.30557674482821556,0.05144933297800449,0.17909750877199,11.202796093458659,10.682448155539278,0.23916051773269348,0.28096209607077804,0.05484578023994353,0.17045051551382287,131.2314834457921,484.4452513366082,0.6634905192476441,266.4978176281547,0.8966655221090382,524.1642199511894
6,8.982584020458887,8.46590191725,0.2105587274422231,0.30590562516988146,0.05176611082091855,0.1659641270956737,11.20194367656954,10.682624948477395,0.2383253600346465,0.2807849759697109,0.05400562363040247,0.15405378619197632,130.21669896167163,481.58945245961934,0.6613253977337759,260.0626650517674,0.8930887795200488,513.5000340535701
7,8.97846242683556,8.461805324359267,0.21013770959026817,0.30631174012132656,0.05206411145606219,0.15559957958664855,11.195735157890288,10.675061189756182,0.2387272119070131,0.2817574642028131,0.05482044395946646,0.134194960595337,131.58634137385067,485.4230134186864,0.6626130250658121,263.47700158241054,0.8955257334706802,523.3835798230585
8,8.97331292246787,8.456896007797393,0.209698960231744,0.30652705751337694,0.052562011205951414,0.13832315005266094,11.188600489275126,10.667150126229275,0.23852928160693287,0.2827234390005512,0.05916124292351608,0.13847536799958712,133.2458983797505,487.7868802916926,0.6668860402121247,267.29415682466333,0.896284002899546,522.439862587511
9,8.970559800667097,8.453732002099171,0.2093585420208937,0.30728441997400713,0.05288365066627607,0.13200122010857565,11.183191412006456,10.662267288049202,0.2383202258555038,0.2824231739586273,0.057657854846225966,0.12347621280779701,130.85700686108646,482.4405074747919,0.6652359696310709,265.106966809021,0.8952729769943917,515.0467663191861
