epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,1.7428110681106639,1.0042453733919745,0.061286922235015605,0.6744030303990551,0.006831096814173735,2.8689289890235536,7.241145075673926,5.122151483166708,0.273897827365627,1.8421676701470597,0.042241935493194896,2.8862934524065826,146.41037385844749,458.2237090984148,0.24417808219178083,88.0396457619863,0.5371004566210046,203.70649257990868
1,1.3255588973091277,0.9513572181167319,0.05433571046348092,0.31677771294919793,0.04886816113533783,3.039392685460783,6.583604823154946,4.916060592458673,0.20940759177893808,1.4551411437865807,0.11082744668811968,2.8849714514327376,131.69983590182648,448.91070391707547,0.33881278538812787,100.85999750285389,0.6812785388127854,225.58602668378995
2,1.2516297935599354,0.9302381245344994,0.0514836647345764,0.26696865753027826,0.05130298461067835,2.888034735607186,6.194202553899321,4.623552215466761,0.1774186392965382,1.390439093276246,0.11180607168233558,2.680692679261508,111.13696668093607,435.3506774185233,0.442351598173516,115.81381635273972,0.7655251141552512,239.75283604452054
3,1.2150980035308383,0.9044341482776352,0.04930511676504356,0.2584952985810972,0.054968120464610234,2.8084880187349013,6.032764242773187,4.489601269731783,0.1657665836076214,1.3745867574051636,0.13212687528296693,2.6772906107445285,97.71736765125571,428.99796382737827,0.4757990867579909,115.92720462328766,0.7752283105022831,241.9753745719178
4,1.203812243934712,0.8958618209267746,0.04992030993594074,0.255137822874468,0.05690697813078399,2.835345647628175,5.9818264083503045,4.4459678501298985,0.16732024478994004,1.3657544409371403,0.12815458518389153,2.65533586005642,98.71202732591324,426.9082098469216,0.5634703196347032,149.36297802511416,0.8252283105022831,284.9399257990868
5,1.1968954516838748,0.8893426297321484,0.05081245073860478,0.25400819562334703,0.05691671034229297,2.6752679488018516,6.017845793782848,4.4731037675517875,0.18336182218300154,1.3587413796823318,0.13611291478553864,2.5026304649980102,106.93920697773973,428.20904136300396,0.4777397260273973,151.66203624429224,0.7955479452054794,290.60794092465756
6,1.1933810594801615,0.8888512811883875,0.048322935666693496,0.25358571097278093,0.05793386854423894,2.563182933683403,6.155783892167758,4.60123193835559,0.18275880252253518,1.3692547886543078,0.1513405832934053,2.387230198350671,110.09447238869863,434.2985858183694,0.5158675799086758,163.14858376141552,0.8107305936073059,302.0037243150685
7,1.1740899065461305,0.8740912103848991,0.047063404080124695,0.25042813186684715,0.05735048814767865,2.4498201238054174,5.905620688118347,4.408495266715141,0.16160529061947784,1.3330193115627929,0.13465710119025348,2.3662437621861288,107.3228560216895,425.1053025602482,0.6071917808219178,178.39903681506848,0.8416666666666667,313.39779537671234
8,1.163461244050282,0.8686226628306515,0.04711144555508857,0.24526138278125503,0.06053350463847957,2.4052308339482655,5.904247714395392,4.412703116462655,0.16313430244383748,1.3258877521916612,0.13529736791571526,2.387347564305345,113.28558789954337,425.3081380937439,0.6320776255707763,195.77546375570776,0.8757990867579909,350.1540739155251
9,1.1681541295936542,0.8760256888162558,0.04847494438699007,0.2412488754596576,0.06039180965421717,2.3442151376579363,5.92537177719482,4.448672425542792,0.1586812997313395,1.3155842726157136,0.15061065174945412,2.2833106158530874,109.72482163242009,427.0380443522578,0.5778538812785388,169.71413741438357,0.8337899543378996,313.9891909246575
