epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,1.6335975387270039,0.8540211776876786,0.1549330377541395,0.6216583835863937,0.00523187343495006,2.9797203012435065,23.3216929866843,16.954856020783726,0.38854426014913274,5.975173997225827,0.06542715973233523,3.054614935182545,78.12749714611873,283.0293912323769,0.4160958904109589,79.09597602739726,0.7230593607305936,169.91479023972602
1,1.020975958162112,0.6343834936362089,0.1096698353730708,0.27384952429504067,0.030589554333416112,3.042531637820585,21.199855428199246,15.873933562187299,0.3374292049505939,4.985339962946226,0.17709646763866896,2.975929645642842,67.43819563356165,273.85883941720897,0.37968036529680366,65.21945276826484,0.6883561643835616,143.9722674086758
2,0.9068920083501513,0.5890975202096097,0.09424875964269847,0.2205760156095448,0.045645325369520304,2.9240670906162487,20.915344692909553,15.56335573588332,0.3148273088344156,5.034055707226061,0.200540487407005,2.9059177019824722,65.39696953481734,271.16652283241535,0.38618721461187216,66.09624001141553,0.6950913242009132,141.74723173515983
3,0.8772171163521619,0.5745228699575482,0.08845761927105807,0.21136403793269243,0.046506396962290364,2.8260764506242193,20.705654834067985,15.386398430393166,0.3065137747215898,5.009742245608813,0.20563301088875288,2.7946928958370263,62.94146154394977,269.6205332749535,0.4041095890410959,67.55621967751142,0.7141552511415525,143.44618650114154
4,0.8684496738617553,0.5706467551464388,0.08731706166230055,0.2077263571502832,0.04777476545087789,2.71171983481387,20.730520713492616,15.393360446250602,0.2994326696820455,5.034843907290942,0.2236633055830655,2.660970133298064,62.56241795091324,269.6815219618712,0.41598173515981735,70.52455051369863,0.7031963470319634,146.0257919520548
5,0.8613749396175543,0.567665334035385,0.08552659564916286,0.20556806299774183,0.04833635975757706,2.5666255992002194,20.66225707694276,15.293202016124987,0.30000975246298806,5.066271661732295,0.2339324565782939,2.5401144746231705,62.080725599315066,268.8027463370792,0.4174657534246575,69.79819492009132,0.6994292237442923,141.8425834760274
6,0.855449631051711,0.5641819632604147,0.08462964278370866,0.204150082267815,0.0490891107342723,2.438864263035678,20.683058286692997,15.330722960380658,0.2947757316778784,5.054912457400805,0.24200113007467086,2.4058181174813886,62.47139786672374,269.13229547149007,0.4454337899543379,75.15967822488585,0.7156392694063927,149.52564212328767
7,0.8541017818843002,0.5639070706761434,0.08445004764696351,0.20338755236907965,0.049882781886573684,2.307226807042408,20.61930833581376,15.27094212362211,0.2972963680143226,5.048545229924868,0.23883606856816436,2.2867317839844588,61.74872110445205,268.60703715829726,0.4286529680365297,73.5994310074201,0.7035388127853881,144.66587471461187
8,0.8510136860557711,0.5622784916833685,0.08370583734898802,0.20279443636244876,0.0498041217255471,2.1851347736203306,20.49433591659755,15.165112701834065,0.29847750247341315,5.028381684708268,0.22355604351383365,2.1382592684602084,60.9990225456621,267.6746845669027,0.4175799086757991,72.73123929794521,0.7009132420091324,144.74114226598172
9,0.8507667936752248,0.5615630963862456,0.084270394632568,0.20284485307025463,0.0501355055745869,2.038314093811585,20.580842428338038,15.21471828303925,0.29302442947479146,5.070863107132585,0.25480796784570775,1.9809395888080337,61.2951064854452,268.1121115091587,0.4512557077625571,77.11489190924658,0.7150684931506849,150.62660530821918
