epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,167180,0,0.0003,0.7056274038621234,0.427540108987833,0.04866224474969169,0.22641500962777056,0.028577199247828568,2.981463258882369,1.2413858211707698,0.7504206848380576,0.21582884069532582,0.27270857443167684,0.06462766787983179,2.363098696902645,87.65029623718483,432.0760049513587,0.4017492655755217,68.31237304426696,0.611441761092671,131.7417396992794,1.0,0.539667820312854,0.24996890448897283,1.2413858211707698,87.65029623718483,432.0760049513587
1,training,167180,0,0.0003,0.5541896892082654,0.3456198111255042,0.04479827640711208,0.16218513814364025,0.03359873401843729,1.5528667062356096,1.2169364960048732,0.7351413581004824,0.21426732140253513,0.2668304315121043,0.06542066625310147,0.6319690515837572,87.62813555045919,429.3201326284573,0.42225592308572735,73.8534652897996,0.6105738048910763,131.96307601949087,1.0,0.5045317884557764,0.26307244509429145,1.2169364960048732,87.62813555045919,429.3201326284573
2,training,167180,0,0.0003,0.5400630489944811,0.33370362615218785,0.04399107497977609,0.162005093512214,0.03361210131638442,0.329641443924741,1.1739803751900961,0.6994307293142294,0.20990345598757779,0.26428931043331416,0.06324798139309984,0.2936308800873992,84.92934073294312,424.4453557268572,0.4566784937621609,84.03488166049083,0.6296593033459235,140.01585875503127,1.0,0.4914142346237513,0.26716639895549926,1.1739803751900961,84.92934073294312,424.4453557268572
3,training,167180,0,0.0003,0.5344715152970784,0.3286271339704242,0.04362389647136774,0.16190150325635044,0.033698313347020684,0.2852817961855753,1.145895318303731,0.6768460001882186,0.2072411162926476,0.26146704796605735,0.06601035262533603,0.27514483882426616,82.83727419111221,420.3316793014323,0.47503910571897295,90.9201363305244,0.6466082942276143,148.01563036511388,1.0,0.4813671265603167,0.2747955904400063,1.145895318303731,82.83727419111221,420.3316793014323
4,training,167180,1,0.0003,0.5312494686268243,0.3256785227505789,0.04339456119738503,0.16187350333535613,0.03372622088935165,0.26915688398258963,1.1552095045497082,0.6858755094898338,0.2082537074872977,0.2607568251628877,0.06468820382159894,0.2587718962190407,83.98650356236111,422.4547005926422,0.4669747434283316,88.85739445330682,0.6389683720575331,143.8798158976074,1.0,0.46003508112094105,0.28119604145200056,1.1552095045497082,83.98650356236111,422.4547005926422
5,training,167180,2,0.0003,0.5297542691499258,0.3243043675673138,0.043282360747662535,0.1618852760068406,0.03372693462671381,0.24853952529585138,1.19303735803791,0.7223505559919409,0.20938097021785634,0.26100299012180705,0.06307475447068024,0.23977043556173755,87.26902783745226,425.233899824816,0.48432909847010797,93.00474059972436,0.6448866887947808,148.58976949533354,1.0,0.4481032710879294,0.28022288418507585,1.19303735803791,87.26902783745226,425.233899824816
6,training,167180,3,0.0003,0.5281806808534902,0.32292834476876525,0.04317069478094546,0.1618188781006212,0.03380735460021605,0.2289551991104249,1.1697511875419304,0.7019874041592404,0.20870966781529823,0.25877054360054225,0.06309816853291549,0.22047056950337965,85.61529754083298,423.6214602480295,0.4768274770134676,92.66914512573443,0.6443620998817291,149.2280923026115,1.0,0.4258336438358064,0.2821640599273677,1.1697511875419304,85.61529754083298,423.6214602480295
7,training,167180,4,0.0003,0.5271601346534122,0.3220690975779993,0.0430551239514768,0.16179025687370094,0.03382930369085587,0.21182565673386378,1.1704532776624426,0.7098460289171798,0.19872655649570867,0.2616159348905639,0.06415503430901369,0.20060517247930412,86.20384877808041,423.55447690933175,0.5185084506504902,102.49585604564878,0.6751030101865629,158.5609144598165,1.0,0.40289403976458477,0.28552354237106947,1.1704532776624426,86.20384877808041,423.55447690933175
8,training,167180,5,0.0003,0.5264767704570249,0.32138967651247546,0.04301088338870209,0.16184965475583624,0.033852281952872494,0.19270229353729118,1.2024315869363396,0.7380954181116479,0.2017896701003497,0.2623002885274706,0.062394882893110695,0.18380679952698523,88.48953311922058,425.92722640212355,0.5194097897829155,105.96492169318225,0.6774970432261265,165.42337447481495,1.0,0.4055981676252244,0.28946594740068515,1.2024315869363396,88.48953311922058,425.92722640212355
9,training,167180,6,0.0003,0.5257805517874187,0.32077423137154876,0.04292310425842997,0.16187343825984293,0.03384184792697164,0.17593703634475535,1.155794293929991,0.6969605749363182,0.1973361693428401,0.2612664192587502,0.06551444604677345,0.16560552603929393,85.26828084780274,421.4641055220903,0.5232535958185495,105.68809083316641,0.6817366754416084,161.78289373676606,1.0,0.37767714234492883,0.2862027098407956,1.155794293929991,85.26828084780274,421.4641055220903
