warm_start validation=2.112104 mae=81.446079 rmse=199.343602
epoch=1/30 train=1.033842 validation=2.104725 mae=81.443320 rmse=198.910461 best_total_epoch=1 best_mae_epoch=1 best_rmse_epoch=1
epoch=2/30 train=1.030894 validation=2.101163 mae=81.205289 rmse=198.691071 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=3/30 train=1.029465 validation=2.103446 mae=81.634644 rmse=198.804094 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=4/30 train=1.028746 validation=2.104996 mae=81.907365 rmse=198.916194 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=5/30 train=1.028159 validation=2.104239 mae=81.850891 rmse=198.867096 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=6/30 train=1.027714 validation=2.106622 mae=82.177802 rmse=199.013613 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=7/30 train=1.027386 validation=2.106041 mae=82.090586 rmse=198.983218 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=8/30 train=1.027098 validation=2.105882 mae=82.196453 rmse=198.954567 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=9/30 train=1.026813 validation=2.104060 mae=81.882698 rmse=198.866930 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=10/30 train=1.026569 validation=2.106090 mae=82.206056 rmse=198.972981 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=11/30 train=1.026324 validation=2.107368 mae=82.350591 rmse=199.062297 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=12/30 train=1.026155 validation=2.105951 mae=82.143549 rmse=198.966002 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=13/30 train=1.025981 validation=2.105122 mae=82.034641 rmse=198.921630 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=14/30 train=1.025800 validation=2.105913 mae=82.180532 rmse=198.965345 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=15/30 train=1.025667 validation=2.105328 mae=82.055127 rmse=198.935814 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=16/30 train=1.025485 validation=2.106853 mae=82.241239 rmse=199.027930 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=17/30 train=1.025351 validation=2.107111 mae=82.266893 rmse=199.037734 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=18/30 train=1.025217 validation=2.107803 mae=82.363327 rmse=199.092798 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=19/30 train=1.025098 validation=2.107625 mae=82.285839 rmse=199.084453 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=20/30 train=1.024984 validation=2.108016 mae=82.345581 rmse=199.097183 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=21/30 train=1.024884 validation=2.105907 mae=82.015113 rmse=198.976189 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=22/30 train=1.024741 validation=2.107587 mae=82.376181 rmse=199.068140 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=23/30 train=1.024634 validation=2.105013 mae=81.986740 rmse=198.921212 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=24/30 train=1.024553 validation=2.106369 mae=82.147468 rmse=199.008062 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=25/30 train=1.024459 validation=2.106252 mae=82.113570 rmse=199.004551 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=26/30 train=1.024368 validation=2.105752 mae=82.036916 rmse=198.969484 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=27/30 train=1.024293 validation=2.108762 mae=82.453166 rmse=199.150253 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=28/30 train=1.024187 validation=2.109433 mae=82.550684 rmse=199.196508 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=29/30 train=1.024130 validation=2.107486 mae=82.201526 rmse=199.065939 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
epoch=30/30 train=1.024040 validation=2.109385 mae=82.421594 rmse=199.198751 best_total_epoch=2 best_mae_epoch=2 best_rmse_epoch=2
results=/root/workspace/Code/DualTimesField-max-spare-dgf-adapter/outputs/forecasting/max_spare_dgf_residual_adapter/NSW1
