warm_start validation=6.293253 mae=109.499425 rmse=436.035436
epoch=1/30 train=1.030224 validation=6.275681 mae=112.596197 rmse=435.274153 best_total_epoch=1 best_mae_epoch=0 best_rmse_epoch=1
epoch=2/30 train=1.027892 validation=6.268053 mae=113.935093 rmse=434.903420 best_total_epoch=2 best_mae_epoch=0 best_rmse_epoch=2
epoch=3/30 train=1.026545 validation=6.264173 mae=114.944103 rmse=434.717861 best_total_epoch=3 best_mae_epoch=0 best_rmse_epoch=3
epoch=4/30 train=1.025982 validation=6.267033 mae=117.533060 rmse=434.860248 best_total_epoch=3 best_mae_epoch=0 best_rmse_epoch=3
epoch=5/30 train=1.025555 validation=6.262624 mae=116.950216 rmse=434.636730 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=6/30 train=1.025294 validation=6.268976 mae=119.288523 rmse=434.950360 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=7/30 train=1.025089 validation=6.266682 mae=119.148041 rmse=434.842896 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=8/30 train=1.024807 validation=6.267310 mae=119.735079 rmse=434.868339 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=9/30 train=1.024717 validation=6.268105 mae=120.237928 rmse=434.915284 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=10/30 train=1.024559 validation=6.262726 mae=119.363422 rmse=434.644691 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=11/30 train=1.024452 validation=6.265245 mae=120.193264 rmse=434.773101 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=12/30 train=1.024261 validation=6.270582 mae=121.505559 rmse=435.026088 best_total_epoch=5 best_mae_epoch=0 best_rmse_epoch=5
epoch=13/30 train=1.024214 validation=6.260722 mae=119.648964 rmse=434.557745 best_total_epoch=13 best_mae_epoch=0 best_rmse_epoch=13
epoch=14/30 train=1.024172 validation=6.265075 mae=120.767383 rmse=434.763442 best_total_epoch=13 best_mae_epoch=0 best_rmse_epoch=13
epoch=15/30 train=1.024079 validation=6.264907 mae=120.888048 rmse=434.759782 best_total_epoch=13 best_mae_epoch=0 best_rmse_epoch=13
epoch=16/30 train=1.024004 validation=6.261694 mae=120.431266 rmse=434.600070 best_total_epoch=13 best_mae_epoch=0 best_rmse_epoch=13
epoch=17/30 train=1.023974 validation=6.260257 mae=120.285168 rmse=434.529516 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=18/30 train=1.023934 validation=6.264186 mae=121.183909 rmse=434.727182 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=19/30 train=1.023901 validation=6.269275 mae=122.306993 rmse=434.962252 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=20/30 train=1.023746 validation=6.267038 mae=122.019993 rmse=434.855031 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=21/30 train=1.023777 validation=6.260530 mae=120.815714 rmse=434.556987 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=22/30 train=1.023775 validation=6.261086 mae=121.125098 rmse=434.575333 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=23/30 train=1.023672 validation=6.262408 mae=121.445095 rmse=434.646354 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=24/30 train=1.023625 validation=6.266014 mae=122.190509 rmse=434.821639 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=25/30 train=1.023599 validation=6.262670 mae=121.697874 rmse=434.652398 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=26/30 train=1.023597 validation=6.263090 mae=121.875306 rmse=434.671993 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=27/30 train=1.023544 validation=6.265547 mae=122.415430 rmse=434.786283 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=28/30 train=1.023500 validation=6.260781 mae=121.659588 rmse=434.562543 best_total_epoch=17 best_mae_epoch=0 best_rmse_epoch=17
epoch=29/30 train=1.023424 validation=6.260195 mae=121.510451 rmse=434.544760 best_total_epoch=29 best_mae_epoch=0 best_rmse_epoch=17
epoch=30/30 train=1.023463 validation=6.258719 mae=121.375216 rmse=434.464484 best_total_epoch=30 best_mae_epoch=0 best_rmse_epoch=30
results=/root/workspace/Code/DualTimesField-max-spare-dgf-adapter/outputs/forecasting/max_spare_dgf_residual_adapter/QLD1
