epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
0,1.3421294792875937,0.9007026849502832,0.04688208017591823,0.3919158893826639,0.02738251443199944,2.6014387859055423,2.0771946837168147,1.4442394133522907,0.1706239528202746,0.46048708329431537,0.03087760086966636,1.8133239176721694,88.18508149794278,198.13913364374494,0.4220317805501507,109.40593830178646,0.6349576513677464,165.06614067686277,1.0,0.6631526273908103,0.16585975310591813
1,1.1761871361443375,0.7981308048735626,0.039248690089492395,0.3375723057338218,0.03263583870085508,1.2026935961474001,2.2547022831242813,1.5890044498456566,0.2061485635389367,0.4589920929640862,0.034584757898681234,0.5225719179375242,102.42761576499967,207.8323795479405,0.3139330815306551,93.60035698871657,0.5206068063026973,149.6272181392712,1.0,0.6343202145959861,0.18975847112893324
2,1.1284787144560637,0.750599121927968,0.038960957015713726,0.33854894507671196,0.03280962740974869,0.3368816151980323,2.3463099103361706,1.6916305880882319,0.19267396992047947,0.46166490493228224,0.034635769220573674,0.30581156916458435,102.01474758033363,214.4388242020648,0.3701737819999237,99.00175478344612,0.5432976612872458,153.58375296720604,1.0,0.6393635361848895,0.23401042087981394
3,1.035246801090737,0.661344296838095,0.037251839951300145,0.33632844818999696,0.03273511776336769,0.289483906615816,2.416563300114209,1.7757533350958354,0.18104804804425184,0.45944772040902293,0.03603844789352579,0.27815247265605175,96.79559022288471,219.7060310917436,0.4193420701232307,107.50537835900839,0.5767807409103048,162.9463407762366,1.0,0.6611375280776622,0.26732244901472535
4,1.0082554661128205,0.6363188402074486,0.03632742242656796,0.33529431954197186,0.033118944971038525,0.2817678491484959,2.4568821688282747,1.8158497047623692,0.1756636783441417,0.4650700635439719,0.030157014295029,0.2685711492359113,102.15044692143805,222.17265638295396,0.5226336271031247,130.9675280580553,0.6545486627751708,183.8640200336333,1.0,0.7104538297585887,0.25830808939976735
5,0.9543585865269921,0.5835612222780657,0.035451365114852494,0.3350421587887166,0.03351127148169337,0.270326601325772,2.5620521200515727,1.9066296854054605,0.19655408478034256,0.45857463513988234,0.03423214423047762,0.2595638879290759,101.83126541725086,227.65847869012964,0.3696921139979398,110.1769144440192,0.5334449277021098,163.93758302886312,1.0,0.6265800771771108,0.32679753926540805
6,0.9384580385149359,0.5679158437561483,0.035561563400272764,0.33468966215606705,0.03383462386053766,0.25713476434571564,2.6490484715817897,1.9793422787535637,0.2082530121921579,0.4611720116185428,0.038349331792666135,0.24277238190324188,103.59527128921899,231.9589329283399,0.3135563313112815,103.7650889729622,0.4856882606539239,156.2783747274224,1.0,0.6116913888106147,0.36466915005796535
7,0.8949854327995169,0.5241777999204534,0.035604840237019555,0.3349320258717659,0.034235482928288326,0.23653137886958836,2.465401257097182,1.7887416531210212,0.21518491179218305,0.4611990057585188,0.038145385867845376,0.2375610803212483,102.04496833539592,220.5080574765766,0.3127599099614666,96.87534511840211,0.46454255846781883,145.56926678714328,1.0,0.6314823966666492,0.38161877057885657
8,0.9206225792904811,0.5457807662944311,0.03740726110968937,0.3371922953020779,0.03386608719932871,0.2083934687485712,2.7515692398629175,2.0802562046747903,0.20924747356720916,0.4618184695316013,0.03650343969431897,0.21061179835954355,106.38447220170563,237.79847587189917,0.31616496890618445,116.74718158272648,0.46891572240662316,175.1019831770893,1.0,0.5316277011875923,0.38179262584234647
9,0.856824812540769,0.4877648571107884,0.03470685116608294,0.33409996658246005,0.03427270265519566,0.2188672487628899,2.458154182344303,1.7787635916249422,0.22040734078602509,0.4587320022065825,0.03666273605569223,0.2145727745155946,98.4040824753622,219.89217605351968,0.27523272671779025,93.20472710124685,0.4334392049139674,143.62134531422876,1.0,0.5405867616376484,0.39029836912144944
10,0.824021553362334,0.4557515985370869,0.03394229660645756,0.3340812160908936,0.03425451281486404,0.21219209532914154,2.48517288674721,1.8058139683240213,0.21770779520087308,0.46141224311227874,0.038086698859669095,0.2007897133560875,101.83027940991497,221.55786251922086,0.32277955820075543,104.93604773073567,0.5188088970279654,162.0557327098773,1.0,0.5733169410162419,0.39820828921474216
11,0.7912084393351242,0.423121487674287,0.033649587288736967,0.3341892616859764,0.03482921245641606,0.21327525649990126,2.3576234124069617,1.6702340452587412,0.21698816847177668,0.4701634259339982,0.03960362558143423,0.19818365768142215,99.97455595672201,213.07834578741637,0.3347640303689291,106.35444692866604,0.5092995307313724,164.8613856509433,1.0,0.5082628766737728,0.39076056090911937
12,0.7769596361041764,0.4082064110901665,0.033538516674273385,0.3349749676094911,0.03373946248168734,0.20600263468215074,2.95460791093637,2.27600877590011,0.2198756797209551,0.4585023509022763,0.037066186468161816,0.1840111346546758,103.6434722733895,248.7354053453298,0.3392993399717676,108.80541321548264,0.47854431345618254,158.35507206689223,1.0,0.5580898554609994,0.4060935635458676
13,0.7556539307156506,0.3902929509805653,0.032712637483345276,0.33242012394874787,0.03442800550532518,0.19378960030603756,3.169049961470461,2.4759427270802674,0.23023368783369344,0.4626394204063691,0.039911678766123324,0.19422419117485426,105.67509697443344,259.4304523229028,0.2772309335775056,103.54300585870436,0.4022166266071497,150.47003548501226,1.0,0.5035547989153643,0.4036019130033997
14,0.7384219554148517,0.37336209363032935,0.032446035412977914,0.3323846717654774,0.03400046324826054,0.195150931578141,2.546788044678915,1.845254677156074,0.24430838437946858,0.4569977848180115,0.03566667325628408,0.19156323157398408,107.93609385581196,223.96430492148303,0.2786854755636946,90.2103463128851,0.4212305902102171,134.775414693497,1.0,0.48538586919367105,0.39661521997267174
15,0.7424325643914483,0.37647254963114374,0.03277987729504921,0.3329532601365713,0.034000326135744906,0.19287539436695067,2.577864984083438,1.8769312399500593,0.23809060937969856,0.46260179207666974,0.03708533387274297,0.20431488865100234,106.27316995220279,225.87846639383622,0.3163795734615238,97.56403080857035,0.43317214146732286,137.6786623347843,1.0,0.3934433648425931,0.37494823313024406
16,0.7713394519035575,0.40546839177142047,0.03310410526038469,0.33254948036024334,0.03405373884287171,0.18342054175444955,2.5085917460068394,1.8007640488849967,0.24709329304282257,0.46052938030815865,0.0337162110263786,0.17129789160463701,107.73298615271558,221.2478507060784,0.2765012780893518,96.96200020238402,0.3801075884170768,137.84314685315206,1.0,0.43693952289292004,0.389116414558326
17,0.7215133386456482,0.35829690405477455,0.0320794399494362,0.3309182687420945,0.03372809110239167,0.18499966495762532,2.6651126651356227,1.9553194305029875,0.248148871553535,0.46142313742038654,0.037954177325396375,0.18321406293122736,109.1438083567908,230.54701978407448,0.25739193468391136,93.38397096407817,0.3662345961619167,133.70433095837626,1.0,0.44204735704697845,0.39789062874944625
18,0.7151932894727333,0.351422028800867,0.031933996435173646,0.33161984453053744,0.03395756528599466,0.18345971002535427,2.5501513411964094,1.8584049222578347,0.22949503946960265,0.462044613057025,0.03745385696153196,0.16929301574503897,103.93897389737968,224.76093510789232,0.2911897676548014,99.18567906544484,0.4183596581587883,141.2938539192753,1.0,0.43972651183748457,0.39833244871026163
19,0.6931390201499424,0.3310251161028088,0.031358772769949486,0.3305459681222218,0.03450085920627088,0.17466129944081807,2.8092834657490684,2.1081066999464624,0.2369297166982054,0.4640287924713553,0.035553738012648946,0.18269991309313693,109.09610062777794,239.38500756015162,0.304533402006791,105.5945909443435,0.42611880508183586,147.6597674282744,1.0,0.3991818594842618,0.3821210964120159
20,0.6831342616096102,0.3215600704159621,0.03138386029087104,0.3299756980896805,0.033623072654415,0.18100636989442945,2.639605255698372,1.9368050223736812,0.23969670375230262,0.46288806525313486,0.03436299269752234,0.1811411330591313,108.72521665745656,229.4529242107534,0.267688184350082,102.91582019886391,0.393141238411354,146.4891551301815,1.0,0.4267869517192933,0.3919382287741643
21,0.6809003974214217,0.32003557498961704,0.031128738892501458,0.3295222870953127,0.034308448482879415,0.17948690221053357,3.036372533655827,2.321010826058968,0.25198472577887066,0.46317509868302376,0.03346461379751128,0.16838589950388025,113.84496491886159,251.18241629497555,0.2703158979054595,98.58955080174175,0.37844797985578577,138.08537876437254,1.0,0.4427579992111552,0.39431382518663616
22,0.6858972550924872,0.3245187957982989,0.031287028722805144,0.32988202214958934,0.034508584297133986,0.17490119946329227,2.6914682887393084,1.987837543614491,0.2312094398150731,0.4722343732135901,0.03504495768080529,0.15186035925755037,109.21112015604731,232.4561806194762,0.2843558048147724,127.57822801763811,0.3950869863797642,185.33207648089066,1.0,0.4164846553891996,0.3880943904524038
23,0.6483247690727815,0.28924953333536524,0.030683820498568114,0.3281850709108228,0.034308680000493974,0.1720336107105027,3.008175430811078,2.2963438968330747,0.24700627568160505,0.464614269436105,0.035488657446537,0.1755064495681311,112.39620114169624,249.84411295873122,0.2749418183205524,102.4801570890442,0.38340296058906564,145.4378885981792,1.0,0.42402575465631903,0.39328115477796255
