epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
0,1.2741979321192916,0.8618760311169982,0.05227675954984626,0.3574155677919972,0.03160775400650884,2.5979653910616403,6.923557196710848,5.28176108710924,0.17443198212198047,1.4652876078330352,0.08808430032569033,1.988443498686766,175.88476830755695,465.308227176141,0.5613196749456335,180.26934749484948,0.8009614284079203,301.75505289406163,1.0,0.7698369354554259,0.21701936867302135
1,1.0780210761923692,0.7326359791253181,0.04558070474698459,0.29853864360285226,0.03750134470632869,1.2282485708579973,7.642243120199799,5.991254862113086,0.18589205113891416,1.4644917016935264,0.0969516993819545,0.5075136023438521,203.15153993298972,495.575983498428,0.5463355079928275,259.27207805838316,0.7743170806150089,406.4991971703197,1.0,0.7918536399540627,0.21016091908844559
2,0.975129672581485,0.6344186714688415,0.041794920858150966,0.2985775376374781,0.037651173604934904,0.30089277113036317,8.219480860894368,6.554793859097015,0.19457808170155078,1.4696717707533422,0.1072499244642828,0.3298141179838483,202.92073536039257,518.3592697005167,0.5626692991492122,294.8605922847278,0.8056111937736065,481.11379086130347,1.0,0.8047745751113895,0.2116545630991575
3,0.9029355128725487,0.565163756885561,0.039595035180422004,0.29785288965058276,0.0379960901213609,0.2858316490224414,8.126683544298052,6.4569034909675365,0.19421372343657614,1.4751695261894462,0.10702011857620533,0.28973853164793245,194.41377110725222,514.4740754334629,0.6554070809965282,341.2665081573576,0.8871323108618518,590.207030132268,1.0,0.85237434605223,0.18383898125156886
4,0.8897221550485743,0.5513173179339556,0.039008571397226,0.29909263842580347,0.03805017591560227,0.2655757968453144,8.252473426482402,6.5924916076066165,0.1918941741913499,1.4677202437587633,0.10670005319316204,0.2607561611223237,195.10937741243836,519.8477211802762,0.6164396627370188,343.47519640787743,0.8646226775018122,562.0439752304615,1.0,0.8428076986072947,0.20484142363637306
5,0.8418472359491076,0.5038715795833049,0.038060908852928434,0.29962402678448663,0.03787492003359392,0.2528463790594073,9.922283182103778,8.214160641528478,0.21295333400929808,1.4948377411484657,0.08847372659928802,0.2428791610916542,255.302840503659,580.2737909108671,0.5218085918125978,396.83173313223097,0.8057065735759795,651.8807946583138,1.0,0.8847002402942296,0.17725721369016642
6,0.8647389871872219,0.5270647945513081,0.03804444670706368,0.29935731447387665,0.037973348867465104,0.234456269190917,9.993112961989022,8.301052474936018,0.22134853125469586,1.4703916399098513,0.10119837029610344,0.21937287806836966,234.20621076015317,583.3348643742137,0.5632701919041624,418.2487006178525,0.7658092022433329,652.0056859029844,1.0,0.8731044716747881,0.20378690133027016
7,0.7939398022632385,0.45737177920119115,0.036647162238690745,0.2996736337491376,0.03775225626890689,0.20947580687610384,9.439348432765518,7.762345314357603,0.20770104577078607,1.4689897094926028,0.09856752650930589,0.21394340921296973,219.79742296814194,564.0892658148808,0.5788838655526306,385.7213465288309,0.8083247491511197,633.0284383450054,1.0,0.9014711220276896,0.18707666477270318
8,0.7593746153823839,0.4247657461818567,0.03593040132289896,0.29844145593623655,0.03841284461103126,0.19859339079549204,8.418998796036162,6.761863442706843,0.19424205820649756,1.4626057159914139,0.10368816810247007,0.18378626363418243,184.32543598815562,526.4832431500377,0.5972635534699172,324.80349569956314,0.7937221014078059,520.6676064557819,1.0,0.9104558839841999,0.18745465344282286
9,0.7647295799227044,0.4299998461014356,0.035802637243219124,0.29871030739033383,0.03797842244558256,0.17881010458596358,10.21899661073508,8.528537076793349,0.2227338724451465,1.467473846924507,0.08919701749569554,0.16266389077903887,233.3492553147414,591.2737947875779,0.5767855099004234,456.1456021677146,0.764559726832246,685.4021035866382,1.0,0.9019001532908976,0.203854998743141
10,0.722224274696514,0.3883364827845007,0.03523185095066682,0.2984490636836776,0.03833961101270474,0.1685381725394253,9.013232687451316,7.33435032546863,0.2155139994418149,1.4631070199877594,0.10121850488683759,0.16013660064357035,222.0172361455621,548.3175928964373,0.5643002937697913,423.6436510173746,0.7402807981381863,628.3907621084659,1.0,0.9160028258036196,0.19537586886496744
11,0.6894712160101851,0.35677024894717657,0.03459028199249652,0.29791642961145964,0.0381285114864639,0.15612914990882087,8.776336374202813,7.1227879918927535,0.19916238443437984,1.4541476205740917,0.09802669025995958,0.14023979833500738,181.3657363391533,540.3514991778989,0.6027717370569609,355.94849226141935,0.7753090305596887,529.0288092830181,1.0,0.9068843822196176,0.2122107180737389
12,0.6981824177593178,0.36418386192394775,0.034791794065832014,0.2990283253878784,0.038501893424116966,0.13993645951332054,9.558546689131228,7.8744606300408195,0.21540040947233388,1.4684533636850297,0.09677656257308272,0.13549485852963403,215.28992006129346,568.1483670899388,0.5677053527145092,427.1183705262402,0.7873411926290489,648.2095853422704,1.0,0.9034676051349952,0.2088050708580479
13,0.6815849124559401,0.34886406820645666,0.034335292835092734,0.29821345200007193,0.03842069546520333,0.13368152574310513,7.735848566374183,6.07946956676931,0.19548512576856772,1.4606543659270186,0.10083234760621612,0.13894644929306096,173.3783023393685,499.2110568009883,0.6141839304108961,354.22528150454485,0.8152350158330471,540.9764741246519,1.0,0.9108346132296853,0.2112738921398124
14,0.652459447431702,0.32125089804614865,0.03374025781882402,0.2972857477682535,0.0387191117029205,0.1438256452197227,8.083464661407378,6.432773079521442,0.19680763829038567,1.453641097064001,0.10341462588111036,0.13936182380889173,184.3543551349207,513.5118524591052,0.5761846171454733,350.07026939280024,0.8096266834535119,549.9351713542859,1.0,0.9061448158827975,0.22103108105102623
15,0.6482789410105565,0.31687132942922264,0.03355153460385298,0.29769025795561654,0.03870359097724455,0.12711757970234086,8.476430329223533,6.780007256798918,0.2172107355044706,1.4789835207639277,0.10142298737114247,0.12751510925740225,219.8902847809901,527.1891208176709,0.6391257487314487,519.4925828418293,0.8311825187898211,762.7254037471744,1.0,0.8974414092073327,0.2324530145092839
16,0.6457552147032634,0.31372715022986486,0.033606252816265864,0.29825861790822505,0.03858434588926698,0.12461021210688043,8.147874102093636,6.487989861321156,0.2052466166993976,1.4544227791326951,0.1010316857630855,0.1138998573404831,187.44157512068526,515.7110459452717,0.5634704894891458,382.608773548379,0.7262456602189921,551.6198999749032,1.0,0.9028867002818063,0.22888521406075
17,0.6272592681210643,0.2977050627637664,0.033094664499030604,0.2963005875244141,0.03845583202504221,0.12049651470476042,8.897617256853215,7.244223670226839,0.199794782738149,1.4533714188670654,0.09504563900266562,0.13224753812833798,182.84518883785077,544.9382309481605,0.601808401052993,389.4261179108962,0.762871504330243,557.5749557452621,1.0,0.8957521216580371,0.23963180244498591
18,0.635288833655001,0.30526974025865145,0.033146567868067814,0.2967066289535255,0.03873291516513089,0.12716402260849055,7.730233066438046,6.070726649009379,0.20852531599475901,1.45075384448607,0.10691295213284455,0.12028072033530722,188.2148353018085,498.85196783607415,0.6080605470985464,415.2112407779654,0.7749561252909084,612.4228723150586,1.0,0.9074340764425897,0.22899301206328232
19,0.6097073773613404,0.281937159249743,0.032386670572069426,0.29522307699591605,0.03863850934498595,0.12183206502500848,9.404283381435716,7.752089585776345,0.2034946177252847,1.4484816148060198,0.09240887760096977,0.12527539534414334,179.60814664972483,563.716493047214,0.5443134561825188,373.9322367487648,0.751578535729274,535.551939667506,1.0,0.9188832850654716,0.2105822978124636
20,0.6139040603972796,0.2855304409121684,0.0325274593965071,0.2956774092776233,0.03871702501730614,0.13003418815211248,7.597620826714697,5.943063588740036,0.19632284481944365,1.4580133077888382,0.10149729343064456,0.11939014937855279,157.3216033128684,493.578855378443,0.588827209950021,359.94185816770033,0.7702634390141544,500.97835824832606,1.0,0.9016745859380216,0.2408366842470502
21,0.5966214915221363,0.2685036836664566,0.032157851633122764,0.2957914702784822,0.03912789967156885,0.12935754727427076,7.719329020434186,6.063230210795181,0.20720361111370325,1.4486781007854257,0.10277540515458043,0.11426381368726864,174.41784371304033,498.54387376316254,0.5445280607378582,391.02850391861955,0.7431851131204457,569.1328259127847,1.0,0.9042734823815994,0.23283882681847604
22,0.6094347231118401,0.2819463058371311,0.03234217341176954,0.2949828771666409,0.038592747779311334,0.12477482882654864,8.394919924723675,6.731111448096989,0.21008556406176226,1.4535248804271659,0.09614835136982666,0.10158783328046075,189.2615211722297,525.2846910625358,0.5473274579375071,402.588969795303,0.7447016519781771,578.3393268361805,1.0,0.91925378442652,0.20907991535040177
23,0.6161208184094247,0.28803129943853967,0.032554807911645674,0.2953780443210715,0.03871084791600783,0.11795560141655607,7.987479176174875,6.316064801988096,0.21128491833558738,1.4599053684826286,0.1113252351097818,0.11278269042719198,195.30282953125595,508.83226253342264,0.5968868032505437,442.4397789438952,0.7908511693563771,648.1471342616769,1.0,0.8756766340923684,0.2763541463790533
24,0.5882300716085933,0.2612647576978927,0.031918507283541474,0.29488456865244783,0.03895696900441338,0.12328222634337148,8.893911354070644,7.230799459983923,0.21758128402169882,1.4453223781868914,0.09896052554138904,0.10919198839475078,200.55341317367947,544.4330843353544,0.5461733623287932,426.0055055569167,0.7204704131853039,587.9000179358737,1.0,0.9120751403806265,0.21926377172228437
25,0.5765915772778426,0.2510244410410916,0.031658193550103755,0.29375134065061215,0.0390812696029447,0.1185212784090483,8.106375222267788,6.454890020701514,0.20604055447068376,1.445229569003813,0.10094421136989137,0.11415785375913876,175.93257267847795,514.3938667271967,0.5586251955285949,368.7001358118967,0.7542014802945328,541.7830824099376,1.0,0.8896141007129305,0.25339070825345633
26,0.5534818313584563,0.22915335272375154,0.03122693162171359,0.29293544420846096,0.03919248879327926,0.12690989815806805,8.75177793046256,7.102222275656922,0.20866083973758387,1.4406676032403807,0.10922567188676673,0.11794012371538923,181.03286300379165,539.57085180387,0.5625929953073138,381.73060082867164,0.7601245660218992,550.9196337981906,1.0,0.9140470470632075,0.21974476877814636
27,0.5450521985946934,0.22107527972526467,0.031098640853453353,0.2927154624798512,0.03889236035789674,0.12392357842164967,7.5979919454230584,5.936987202802579,0.21152219453184204,1.4492692407875096,0.11169791199702672,0.10160317208331825,180.7695446627847,493.3264569646534,0.5564696119949639,387.35116207248984,0.7516929914921217,555.1023272895326,1.0,0.9183554305701358,0.21702266414213814
28,0.5485895406280007,0.22514275650189522,0.030975255844463593,0.2923108143150265,0.03883090089173229,0.12188286970578376,9.464223497449888,7.806914356357657,0.21339722094197996,1.4436895944560995,0.09943759194906228,0.12283740943508589,186.14628798947723,565.7063583459478,0.5947026057762008,410.28256620401504,0.771627370188089,585.4882363916867,1.0,0.9130223597943917,0.22225436243962998
