epoch=1/30 train=1.043710 validation=21.958615 best_epoch=1
epoch=2/30 train=0.902310 validation=21.551644 best_epoch=2
epoch=3/30 train=0.882524 validation=22.295881 best_epoch=2
epoch=4/30 train=0.866795 validation=22.350330 best_epoch=2
epoch=5/30 train=0.854353 validation=22.957865 best_epoch=2
epoch=6/30 train=0.843872 validation=22.780443 best_epoch=2
epoch=7/30 train=0.839483 validation=22.168045 best_epoch=2
epoch=8/30 train=0.827642 validation=23.700080 best_epoch=2
epoch=9/30 train=0.819454 validation=22.433264 best_epoch=2
epoch=10/30 train=0.810074 validation=22.190644 best_epoch=2
epoch=11/30 train=0.804668 validation=21.969298 best_epoch=2
epoch=12/30 train=0.798672 validation=22.658040 best_epoch=2
epoch=13/30 train=0.788958 validation=23.033394 best_epoch=2
epoch=14/30 train=0.784870 validation=22.767961 best_epoch=2
epoch=15/30 train=0.776229 validation=22.285930 best_epoch=2
epoch=16/30 train=0.773046 validation=22.637116 best_epoch=2
epoch=17/30 train=0.768571 validation=22.858601 best_epoch=2
epoch=18/30 train=0.760087 validation=22.600044 best_epoch=2
epoch=19/30 train=0.756020 validation=22.642829 best_epoch=2
epoch=20/30 train=0.749528 validation=22.701151 best_epoch=2
epoch=21/30 train=0.745724 validation=22.524332 best_epoch=2
epoch=22/30 train=0.740250 validation=22.621680 best_epoch=2
epoch=23/30 train=0.748047 validation=22.360500 best_epoch=2
epoch=24/30 train=0.730478 validation=22.493111 best_epoch=2
epoch=25/30 train=0.724431 validation=22.198071 best_epoch=2
epoch=26/30 train=0.720993 validation=22.608552 best_epoch=2
epoch=27/30 train=0.719145 validation=22.450293 best_epoch=2
epoch=28/30 train=0.711600 validation=22.522011 best_epoch=2
epoch=29/30 train=0.704130 validation=22.341616 best_epoch=2
epoch=30/30 train=0.708973 validation=22.105477 best_epoch=2
results=/root/workspace/Code/DualTimesField-max-spare/outputs/forecasting/max_spare_future_context/TAS1
