epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,171212,0,0.0003,0.6191006849667481,0.3665341673971201,0.041609885212094605,0.20787425363030543,0.02319181718431013,3.0591853256470567,1.0987660609380978,0.7057637823750939,0.18779646441309747,0.20261477269432673,0.03998108786266756,2.551060641399985,63.223326647060155,179.83112696049764,0.36959196520544807,58.574417072925016,0.5930143832741979,111.95523080719927,1.0,0.5483379427322714,0.24095324251346908,1.0987660609380978,63.223326647060155,179.83112696049764
1,training,171212,0,0.0003,0.46251243503621003,0.2787614015893748,0.03723912175349644,0.14460120055968428,0.027583494611817565,1.8831280186934556,1.0475420241253837,0.6660580123140786,0.18355140966670566,0.19674614920514638,0.037583725199255145,1.148870396589515,61.69982585548231,177.52922063042823,0.4042720613482889,64.72862460387576,0.6027431231162489,111.66861543251164,1.0,0.5357995574847548,0.2659177357215347,1.0475420241253837,61.69982585548231,177.52922063042823
2,training,171212,0,0.0003,0.4470164971424153,0.2655660415675126,0.0365269871914478,0.14433605801343602,0.027612608625948387,0.5597974686811299,1.0262072812750913,0.6441066020602313,0.1869850675985294,0.19478198236965868,0.03817916525997067,0.29544775551416325,60.203812787108106,174.64432367505404,0.39749055739956507,66.19209969096944,0.5810919079775667,109.15629836054042,1.0,0.5223606379301108,0.27164593213301486,1.0262072812750913,60.203812787108106,174.64432367505404
3,training,171212,1,0.0003,0.4406577475500179,0.25995480308554425,0.03619146077782672,0.1441934621343512,0.02768482430519238,0.290339289133653,1.037728135818009,0.6604822707405431,0.18327135393408597,0.19364934347342255,0.03741780540923907,0.2877538399884913,61.95596936728616,177.03882109744393,0.4148973713326466,67.52769797791838,0.5958567013849148,110.93458014854212,1.0,0.5027039095535968,0.27584528365102096,1.037728135818009,61.95596936728616,177.03882109744393
4,training,171212,2,0.0003,0.43685304868558444,0.2564446271981429,0.03593390878090094,0.1441658398166075,0.02775932356237085,0.28091397823871145,1.045248885606074,0.6651642058388761,0.18448048554462346,0.19529182022409525,0.03821555673274484,0.27414238401745666,62.433705253087325,177.25189951087268,0.4172866353820915,67.21565805506276,0.5990853076952425,109.73818177184674,1.0,0.5051310083966267,0.27444949225287535,1.045248885606074,62.433705253087325,177.25189951087268
5,training,171212,3,0.0003,0.43491113595419484,0.2546809832408095,0.03577405928105299,0.1441607343253745,0.02777860801030843,0.26757995986886723,1.14808476837628,0.7599787790551261,0.19371217091215945,0.19408976360754712,0.037918010840627986,0.2661357669061063,69.23814867766336,185.5334306724788,0.3897218724962802,62.829606777390694,0.5702996833390561,103.78376482261741,1.0,0.4813093630989479,0.2829103256392918,1.14808476837628,69.23814867766336,185.5334306724788
6,training,171212,4,0.0003,0.4333414106278512,0.25322711051615476,0.03564436448019617,0.14418821960097652,0.02784232893208772,0.2538741490560968,1.0424646481136524,0.658607526012153,0.19010039437525986,0.19347641694064105,0.03741816966392034,0.24290878913168423,62.14976031726303,176.76007657370926,0.3995316851703483,63.56791157427941,0.5754501926672008,103.04203872241139,1.0,0.4968404209212206,0.2770677699699171,1.0424646481136524,62.14976031726303,176.76007657370926
7,training,171212,5,0.0003,0.43234913233790606,0.25236927913122936,0.03553345905922056,0.1441808641257222,0.027843263144676073,0.23768603894432444,1.0717142452169806,0.6854934152959754,0.19045327314815982,0.19549947817258462,0.03845705084193144,0.229620985955399,63.94471920782305,179.32445271838893,0.40400499790164435,65.19984203465387,0.5809345313036511,104.9580860164864,1.0,0.49075981996773554,0.27434978327960624,1.0717142452169806,63.94471920782305,179.32445271838893
8,training,171212,6,0.0003,0.4313760313645433,0.2515198615030087,0.03543696910501122,0.14416637244636107,0.027859245511264792,0.22496934140737115,1.1578396358464884,0.7703764677402478,0.19276354301844933,0.19443462862055103,0.03947781138416285,0.22552691819609966,69.49974336871924,185.730461875333,0.4104431345618252,67.2240465782794,0.5823270764182976,108.42332246301648,1.0,0.4990198341239518,0.28306837997234385,1.1578396358464884,69.49974336871924,185.730461875333
9,training,171212,7,0.0003,0.4306921621104023,0.2509119802564852,0.035341153486833796,0.1441976517098905,0.02784328159171197,0.2135343057740058,1.1058060286232545,0.721652736117505,0.18923718102734258,0.19466854347931078,0.03901132509833795,0.20855243665560494,66.2812635757873,182.25901203350082,0.4077868070657358,66.05857534467876,0.5791843119301057,105.33807497627427,1.0,0.4932698721396491,0.27493504679508085,1.1058060286232545,66.2812635757873,182.25901203350082
10,training,171212,8,0.0003,0.4303380664329606,0.25051846735565736,0.03536424895824281,0.1442260045930968,0.027851470999187805,0.20149440260356666,1.1059512718258426,0.7225393616076641,0.1895275292045071,0.1936529769212659,0.03890388048106532,0.19248982576813894,66.46464750419374,182.24170603537476,0.4207679981687078,68.80129596561319,0.5891801152188013,109.69387405335546,1.0,0.4915101438934721,0.2813276070795281,1.1059512718258426,66.46464750419374,182.24170603537476
11,training,171212,9,0.0003,0.42944884000375033,0.2497966864695893,0.03524265677376916,0.14418790284435704,0.027814233162826777,0.19378026477585064,1.0946925575555537,0.7123880969641669,0.186042096122163,0.19603924499989867,0.03898519333428535,0.18413151879598227,65.84901729369945,181.47987533893914,0.41416771584449275,66.63815227862348,0.5855699896989813,106.69855548779616,1.0,0.49834658029783385,0.2809462934823455,1.0946925575555537,65.84901729369945,181.47987533893914
12,training,171212,10,0.0003,0.429029039123329,0.2494224791632982,0.03518900209525754,0.1442032038222881,0.027833582477891625,0.18652138148046857,1.1153537302482752,0.7321677694976145,0.18863608127851514,0.1943288903252353,0.039175239456754614,0.18181127576543113,66.93221725365484,182.94028601523644,0.4288562054099424,71.29691086057022,0.5939491053374537,112.11195956909789,1.0,0.48807123920699297,0.28299422573223976,1.1153537302482752,66.93221725365484,182.94028601523644
13,training,171212,11,0.0003,0.4290465304537638,0.24944274007200137,0.03517373629579367,0.14422556499996506,0.02777190609480893,0.17671852557355605,1.0541008683368163,0.674508164332035,0.1826621626863098,0.19672081886671414,0.039634129925547525,0.17009958392547445,62.978389218818556,178.6411754559936,0.4172055625500744,70.39825363307628,0.5959425432070504,112.01789034482184,1.0,0.4852965497073703,0.27714774975228873,1.0541008683368163,62.978389218818556,178.6411754559936
14,training,171212,12,0.0003,0.4278013819326041,0.24834175565524172,0.03508227961494016,0.14417654210013198,0.027790472318292153,0.17301593626821585,1.0794038702247208,0.697620015811822,0.18535245662450422,0.1962199790145926,0.03858588891750044,0.1728442752284208,64.95100170960845,180.31275177150818,0.4429628781809164,73.16625940236209,0.6016128724581282,112.05344145230056,1.0,0.5065408824332535,0.2795169999988012,1.0794038702247208,64.95100170960845,180.31275177150818
