epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,171212,0,0.0003,0.6996714358187904,0.4220455540786274,0.04830965424031022,0.2263140965045124,0.02848996123130865,2.9736404847509643,1.1977952175798303,0.721058864427456,0.2030842967023989,0.27124275680372584,0.06418626499306328,2.345120496385305,86.68490861273654,427.9942291975255,0.430110449811148,76.18320936194489,0.6655268780283087,146.27604136860478,1.0,0.5565051988081604,0.2540361466949448,1.1977952175798303,86.68490861273654,427.9942291975255
1,training,171212,0,0.0003,0.543815168279071,0.33574349071203136,0.04421439347017314,0.16232502380809727,0.033571712754240854,1.4986881221889188,1.164090582523382,0.69692414734652,0.20135273395496975,0.2651803493653253,0.06510534203832286,0.5682557419452403,85.96623878206847,423.7224967485318,0.4638081339895464,86.63207967760435,0.6631042310480333,147.0590662525991,1.0,0.5312893409666423,0.27803491493514715,1.164090582523382,85.96623878206847,423.7224967485318
2,training,171212,0,0.0003,0.5284745650793938,0.32263313415882305,0.04339212473714933,0.1620978548537445,0.03359975294968885,0.317851963191152,1.139635802925322,0.6779248138628086,0.19891791649250604,0.2624388473747769,0.06240294152789549,0.2918104490119641,85.07975460211273,418.8608400042349,0.4783821677921483,91.30439003424135,0.6717456411430316,149.73953154508126,1.0,0.5166039295304959,0.2864552440227638,1.139635802925322,85.07975460211273,418.8608400042349
3,training,171212,0,0.0003,0.5223189247367941,0.3169924445917115,0.04300279882282873,0.1620076121302,0.03365186534895796,0.2824174952060906,1.1167274911970981,0.6593905933371013,0.19763103753918435,0.2593711976520909,0.06459247407786863,0.27006560559606774,83.97235520749877,414.59118173508426,0.4907290832093396,96.544750154098,0.6860287665483957,156.29076502947237,1.0,0.5134223605288348,0.29985545356922905,1.1167274911970981,83.97235520749877,414.59118173508426
4,training,171212,1,0.0003,0.518698919703288,0.3136480956315866,0.04274585523512476,0.16200736498099427,0.03365027967263397,0.2639535930144918,1.1168839178226408,0.6598012071357408,0.19778232039585053,0.25898333266675916,0.06435458065341372,0.25270385310417104,84.00610832187286,415.3381070962253,0.4745765136774637,90.93700752725478,0.6720651634809812,148.91013091474,1.0,0.5105662788867604,0.30437375523022586,1.1168839178226408,84.00610832187286,415.3381070962253
5,training,171212,2,0.0003,0.5169367552676165,0.3120685260652739,0.04257934802501935,0.16201197159741096,0.033656127995343274,0.24325237160496677,1.1381455744085096,0.6815243237785662,0.1971042471679555,0.25922397811413905,0.06207084512668274,0.23095380494308593,85.65916424416872,417.59743480326256,0.4881490595551486,95.94046620008059,0.6847125252756476,154.9878898202329,1.0,0.5180222539416728,0.30502730899227987,1.1381455744085096,85.65916424416872,417.59743480326256
6,training,171212,3,0.0003,0.5151681037696285,0.31050877204721195,0.04239907325311938,0.16200295202738663,0.03372165545425515,0.223584584075519,1.1353457251927583,0.6796621608593596,0.1974159812539154,0.25799319982235336,0.0617637022233083,0.21260938615449387,85.74709957845108,416.3919334404735,0.48533535538514366,95.37610975890371,0.6826952424554577,155.788688655884,1.0,0.5280345267502902,0.30468367722014816,1.1353457251927583,85.74709957845108,416.3919334404735
7,training,171212,4,0.0003,0.513930751613438,0.30945640887452314,0.0422618928365303,0.1619727378095978,0.033723320657073015,0.2059895396641169,1.1255102179832803,0.6781307374420026,0.18786428335218808,0.25925792407304565,0.06329490301608903,0.19396866726850745,85.32760530116471,415.3999143462049,0.5316756323680897,104.67414012127541,0.7211046888710847,165.64411284563255,1.0,0.5347211279702985,0.30944561689240957,1.1255102179832803,85.32760530116471,415.3999143462049
8,training,171212,5,0.0003,0.5131539430457662,0.30867823830526064,0.04219175635404758,0.16206411548469435,0.03374398812290979,0.18609016386405175,1.1519985639886614,0.7023891152772885,0.18994418821829817,0.25942925867676064,0.06094575938806526,0.17505813749967347,87.7023629209677,417.7618683229013,0.5382711457021861,105.74689270487582,0.7235988707031399,168.1398259706087,1.0,0.5477723241748325,0.31230489875774753,1.1519985639886614,87.7023629209677,417.7618683229013
9,training,171212,6,0.0003,0.5123469321470902,0.3079848787427297,0.042057639476382254,0.16210370551831063,0.033731412776944775,0.16697743711697163,1.1244335095219582,0.6761092878328085,0.18931727996932787,0.25878486071194257,0.06386383799577013,0.15821260357457032,85.53739201218,413.60138329337764,0.5187516691465416,101.65081469254321,0.7109228949677616,161.9969914751321,1.0,0.5464402651014543,0.3071889966179301,1.1244335095219582,85.53739201218,413.60138329337764
10,training,171212,7,0.0003,0.5116755807730298,0.307362614356409,0.04197662938286189,0.16215007067360931,0.03372021940345328,0.1525457229825719,1.15306965448879,0.6988371882467859,0.19540188984946055,0.258624237933393,0.06195016821431284,0.1443982389998051,86.96068077091769,417.1022359862967,0.5026944794170386,101.9804996180337,0.6957193544694975,162.03129172866355,1.0,0.5323738103092824,0.3107767310744018,1.15306965448879,86.96068077091769,417.1022359862967
11,training,171212,8,0.0003,0.5109576760955048,0.3067309546606441,0.04188645711936559,0.1621672996248803,0.03374199406340758,0.13922149262016528,1.1581042680871887,0.6984989389963085,0.1990390192304577,0.26036540616107123,0.06147450070772344,0.13943697807034872,87.20226473286353,416.66129112761064,0.4857073366143985,93.89400926912842,0.675074396245851,153.85078511735293,1.0,0.5469707566003289,0.3055407429755811,1.1581042680871887,87.20226473286353,416.66129112761064
12,training,171212,0,0.0003,0.5102647931303438,0.3060229268865755,0.04182148754086978,0.16225738342840273,0.033757858932815465,0.12923781409203766,1.1161936289374255,0.6663751842822255,0.19055781139154018,0.2590726653464233,0.06297449519094755,0.12499148276010612,84.74358853056385,414.085064524714,0.5293960550913739,105.76828207265079,0.7081139597878753,164.18522563880623,1.0,0.5372132318103824,0.30729911147915806,1.1161936289374255,84.74358853056385,414.085064524714
13,training,171212,1,0.0003,0.5095741322084021,0.30536771096884857,0.04174108250354852,0.16230928175866458,0.03374301886886308,0.12231366989294405,1.1784519753481222,0.7173620550968397,0.1981092344193924,0.2627973770783506,0.05915828357371038,0.1241409351335683,89.22125171720901,421.5926211546049,0.5283134943344397,102.85248149929896,0.7043559955743772,165.18340552392127,1.0,0.5496485749694002,0.3098088578764867,1.1784519753481222,89.22125171720901,421.5926211546049
14,training,171212,2,0.0003,0.5091575701808364,0.30496080279595417,0.041699077519321955,0.1623489384828384,0.033753930706274665,0.11499897339521342,1.1774171780391076,0.7177153646100014,0.19866868998261403,0.2608526866625932,0.06248264027597621,0.11794319695410309,89.13240612522384,417.7688741805463,0.5095045973064743,98.38855922623732,0.6898439586433177,158.15729709139293,1.0,0.5267760207045333,0.30109661627302964,1.1774171780391076,89.13240612522384,417.7688741805463
15,training,171212,3,0.0003,0.5085193310882311,0.30429757600589546,0.04166081494076599,0.16241845568023733,0.03375895949171753,0.10872887525194772,1.1479108773919773,0.6934114292023505,0.19375544827982752,0.2605689197840101,0.06330934019039353,0.11176323483321682,87.1618682103366,417.2182566611024,0.5089704704131853,102.05183955597126,0.697235893327229,163.5637419866063,1.0,0.510968867927718,0.299383073483069,1.1479108773919773,87.1618682103366,417.2182566611024
16,training,171212,4,0.0003,0.5079565008392497,0.30370892017368173,0.04161569652521546,0.16249371331864887,0.033785227657105205,0.10438481396046805,1.1288665949759364,0.6730262508575985,0.19380262024769715,0.2618681105348138,0.06552128097166306,0.1040973284320058,85.61999163824646,414.1649917081299,0.49576513677463663,101.48382714363125,0.6952281484872763,166.2110685727128,1.0,0.4870827746070203,0.2942030420076997,1.1288665949759364,85.61999163824646,414.1649917081299
17,training,171212,5,0.0003,0.5078912797507339,0.3037338386968481,0.041574579980379105,0.16245194138032212,0.03378089389429397,0.09713999075771337,1.120074721875092,0.6717088670612978,0.1876126140935089,0.2605900667932687,0.06593062399306777,0.09724199226880982,85.80414386306977,412.9216216880496,0.5537417496470948,115.67984681407616,0.7309908053870512,178.3591382643499,1.0,0.539015210619468,0.3003621866012253,1.120074721875092,85.80414386306977,412.9216216880496
18,training,171212,6,0.0003,0.5069219614218069,0.3028536750141373,0.041482456094792335,0.16245753130654725,0.03375356888515169,0.09454711286309042,1.1690722248285985,0.7072427730354548,0.1975461521997231,0.2641188544045873,0.06248025740514403,0.10198406284425356,88.26718677906283,420.40313608522325,0.5131099538361756,107.55795971648949,0.7022528709320515,172.9227443347378,1.0,0.5102686379003232,0.2965410997131525,1.1690722248285985,88.26718677906283,420.40313608522325
19,training,171212,7,0.0003,0.5065545865901194,0.30242920157480324,0.041455695377422476,0.16254406748243017,0.03378226327235217,0.09183825965769939,1.1781043559773312,0.7153918755106322,0.20008556960161045,0.26246645332024027,0.06317684692411138,0.09727456568870034,88.63935248999407,418.85333072525754,0.4849824501163634,96.94233219786659,0.6827763152874747,161.37664265629172,1.0,0.5187534467480219,0.29513200841851844,1.1781043559773312,88.63935248999407,418.85333072525754
20,training,171212,8,0.0003,0.5059596471449687,0.3019216898306792,0.04138547969104132,0.1625285569689731,0.03379622575772878,0.09012438032773139,1.1404900841531758,0.6925905948306326,0.18399895096590635,0.26374213180048617,0.0665492483504143,0.09184743683238153,87.48849228712719,415.5094401115702,0.5324911296783793,107.21245951574483,0.7313627866163062,176.08263512337376,1.0,0.5146465099943502,0.2935884189937519,1.1404900841531758,87.48849228712719,415.5094401115702
21,training,171212,9,0.0003,0.5057147353108854,0.3017437799897082,0.041352235831503534,0.16249805396102368,0.03379323445647202,0.0868741696784021,1.2370518242704305,0.7749897064388487,0.19655793317278858,0.26534352410374484,0.0644334796157352,0.0962335704099372,93.01860600071595,422.5776882569663,0.5524016634237534,112.99937429359333,0.7285252374957079,185.63894821562275,1.0,0.5485009010806569,0.2975251882558232,1.2370518242704305,93.01860600071595,422.5776882569663
22,training,171212,10,0.0003,0.5051201537095585,0.30118789060229084,0.041287843322532554,0.1625253456584478,0.03382502506487026,0.08524905444174027,1.1992448108807792,0.7402936029662062,0.1932097500431257,0.26558644717067387,0.06448328759637648,0.09052074294849843,91.11337271774016,422.121185631635,0.5388672694670177,114.60707597418546,0.7325359581854947,186.20077485657262,1.0,0.5178843707768357,0.29528403054945007,1.1992448108807792,91.11337271774016,422.121185631635
23,training,171212,11,0.0003,0.5047459246316625,0.30090598259282597,0.04121558234501584,0.16250628540643644,0.03383577686022839,0.0842384314418808,1.2856016009653735,0.8258212999565127,0.1905717490725087,0.2690488415181507,0.06498770193041524,0.09472808168677208,95.79570060823998,424.5570222535045,0.5679533402006791,118.15123317142611,0.7519266720079356,199.98932733543407,1.0,0.5142427307433954,0.2983772059957082,1.2856016009653735,95.79570060823998,424.5570222535045
24,training,171212,12,0.0003,0.5047089101462842,0.30079078111665214,0.04117508956980196,0.1626257985298201,0.0338017278600512,0.08343942455032143,1.1944578534318993,0.7399837845786971,0.18836285271960593,0.2659580538362091,0.06307397669470527,0.0900769003773426,90.95820180421329,419.28189290292585,0.5407176376330548,108.13680716260588,0.7409818396856281,182.87027027953437,1.0,0.5177955960723492,0.2966302968735959,1.1944578534318993,90.95820180421329,419.28189290292585
25,training,171212,13,0.0003,0.5042069667695741,0.30040788886555764,0.041143227564241935,0.16253852571229885,0.03383171267144418,0.08349275739124422,1.259287659641233,0.8018944269666358,0.190423079800337,0.2668112160801492,0.06564637361299232,0.09329165148696843,94.4649631796705,422.9227673950901,0.5682299416275609,122.39645659935833,0.7545305406127198,199.51009244985406,1.0,0.5240396117814772,0.3010294930707507,1.259287659641233,94.4649631796705,422.9227673950901
26,training,171212,14,0.0003,0.5037705837408855,0.29995143971331034,0.04108851883580665,0.16261307558361338,0.0338569620777001,0.08369324949550226,1.2533538038552974,0.8037845589339058,0.17512344289389836,0.2742781925439507,0.06887395200783811,0.09873868210444368,94.85691975250134,421.530784598818,0.6039925985273359,134.93298307708955,0.7957679981687078,213.3091456115753,1.0,0.45608068714110556,0.2877773087166191,1.2533538038552974,94.85691975250134,421.530784598818
27,training,171212,15,0.0003,0.5036046622747844,0.2997986111270907,0.04106953632540496,0.16261721629682657,0.033810002078238775,0.08549216477570316,1.2143910505159832,0.7640667339306996,0.18083681109186214,0.2693269045914121,0.06771887480424664,0.09287604190050171,92.26212258659294,419.6834363204729,0.554876769295334,118.3239266120975,0.7621370798519705,197.68364665598412,1.0,0.4878302486070823,0.2927991828212358,1.2143910505159832,92.26212258659294,419.6834363204729
28,training,171212,16,0.0003,0.5032809060633882,0.29953841961926464,0.040997471315284806,0.16262450814028256,0.03392071354043954,0.08658971424875982,1.2963335649282528,0.84008251822853,0.18787116816897775,0.2682215267018676,0.06603788416988314,0.0923064047984691,96.23095892208006,426.1611146085036,0.5563074663309298,122.3605830634383,0.7494181832055244,201.56288740593166,1.0,0.5094137850695885,0.3002163464730129,1.2963335649282528,96.23095892208006,426.1611146085036
29,training,171212,17,0.0003,0.5030432043353696,0.2993250046694294,0.040949417606329065,0.16264874403180174,0.033892877263550975,0.08614546405604281,1.204810882884959,0.7635882048008166,0.16829622831633487,0.27275814046756863,0.06824406264551283,0.10008370900019037,92.7093903771988,418.07847360904213,0.6074262714127656,139.66003516236026,0.8128457517836023,229.51153618709702,1.0,0.43969296432133603,0.2870156051946024,1.204810882884959,92.7093903771988,418.07847360904213
