epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,167036,0,0.0003,0.6950455852012307,0.4245265560240186,0.04864848100304722,0.21914872017511686,0.028763957927255057,2.693062951413698,1.2887229005750398,0.8103927380912866,0.21637346099580748,0.259928691186948,0.05994293092828574,1.9680667068151365,93.24488276182949,436.0800287653386,0.401100682919385,66.3344372427726,0.6196110411659227,133.22595147314104,1.0,0.5865366634720953,0.2349784727705174,1.2887229005750398,93.24488276182949,436.0800287653386
1,training,167036,0,0.0003,0.5540516425065856,0.34579287046109736,0.044879345007717064,0.16240140610662193,0.03350025988456064,0.9445217858018745,1.2118964046291019,0.7430929134752189,0.20936522574636296,0.25907344321193826,0.06257493789274196,0.3022488933161056,88.83726340034063,428.9189070707803,0.44196615924611804,77.413039067269,0.6391448246919232,139.93956597868024,1.0,0.5848255254253492,0.2503567642378316,1.2118964046291019,88.83726340034063,428.9189070707803
2,training,167036,1,0.0003,0.5410695567345519,0.33443647044019736,0.044049861432902,0.1622524939408985,0.03357884693735349,0.297151595327329,1.2590839425697744,0.7919836720790472,0.2059727254739063,0.2607743678495324,0.062035388877868816,0.2911563553048228,92.84586917806902,430.2529681532017,0.4691446339323185,84.25126601784557,0.6557218343443593,147.4060943371819,1.0,0.5933083305054713,0.2558146329805659,1.2590839425697744,92.84586917806902,430.2529681532017
3,training,167036,2,0.0003,0.5356619586907303,0.3295426281742719,0.043559791588848734,0.16224021467565372,0.03369283947125198,0.2856314877253967,1.233117426848458,0.7684758033620911,0.2030244261436561,0.2612806506624644,0.06065101341339193,0.275894651369166,91.3030953838262,427.96967884195607,0.4989555911640151,96.53447592375339,0.660156995154706,152.84260011451536,1.0,0.566073979986132,0.271588085405521,1.233117426848458,91.3030953838262,427.96967884195607
4,training,167036,3,0.0003,0.5324066136492404,0.3266318381891048,0.04322055030237249,0.16225168562762476,0.033674366359902,0.2688643313110066,1.2124302234115625,0.752464660493572,0.1974784762722118,0.26216833665753797,0.06086289467620702,0.25789607748008914,89.97526976835823,427.4177596925367,0.5315230246842928,103.5317955277603,0.6814409980542521,160.10393596676968,1.0,0.5728159234968665,0.2733729377667516,1.2124302234115625,89.97526976835823,427.4177596925367
5,training,167036,4,0.0003,0.5305128534848593,0.32495550024439973,0.04302427800724842,0.1622463728900409,0.033737274912314055,0.2529657054239864,1.2259635917686333,0.7730602779145015,0.19209504973804656,0.2604973634323976,0.06372359179022576,0.2471798482053924,90.87358372170796,427.3894706717863,0.5349853115104346,109.0281140909351,0.6934683911334936,163.2924923353387,1.0,0.5606156181413167,0.28078663669655674,1.2259635917686333,90.87358372170796,427.3894706717863
6,training,167036,0,0.0003,0.5290902332890474,0.323700999325677,0.04286524455876966,0.16225489690945327,0.03375210706896949,0.2353406445150356,1.210666578609692,0.7526634854133551,0.1961079285463773,0.26160523425363436,0.061284917175319545,0.22863929740819366,89.59729041163985,425.719588976531,0.49726736866201215,99.68962506944843,0.6730475754454237,155.5569782545973,1.0,0.5258689761903138,0.285228687845673,1.210666578609692,89.59729041163985,425.719588976531
7,training,167036,1,0.0003,0.5283330737116435,0.3230217164156321,0.04280576178290264,0.1622562475906556,0.03380459523751043,0.21553940742260938,1.3052683544845238,0.8646449132145467,0.17604684830415443,0.26429935472841404,0.061194642933968806,0.21604654161713416,95.52227035486949,430.8382288257327,0.6359543703025448,139.09803572003406,0.7940702376864676,202.38330743175575,1.0,0.5661001389913787,0.2997303515861284,1.3052683544845238,95.52227035486949,430.8382288257327
8,training,167036,2,0.0003,0.5276008617510641,0.322366901719568,0.04269651888138437,0.1623005645886075,0.03381805100759105,0.20305808266551273,1.2549970511564936,0.810017151947601,0.1811090250020614,0.26361949900624626,0.060110742355649636,0.19126373490548262,92.35530294376348,427.90508133274346,0.5965672809125939,130.42450308613272,0.7741120140399069,198.60950897881614,1.0,0.5351282115166529,0.2992001199912364,1.2549970511564936,92.35530294376348,427.90508133274346
9,training,167036,3,0.0003,0.526667958044884,0.32151126055217427,0.0426711313330251,0.16226576745306792,0.03378446463918588,0.18601441093183996,1.29270723993546,0.8603810464897867,0.16695007934498646,0.2651253368450109,0.062302522796187094,0.18847501242960346,94.41098592387857,429.8785063062943,0.6728520468505589,150.54507120400308,0.8423801075884171,221.5838216332122,1.0,0.5195909244484523,0.30045811582112464,1.29270723993546,94.41098592387857,429.8785063062943
