epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,train_gradient_norm,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,150584,0,5.9999999999999995e-05,1.168170307148661,0.5117049483023064,0.05881954501958842,0.5945479905922635,0.008522397562037747,3.0892985878039285,0.5139616443419697,3.080073396977699,1.42230280344698,0.3173662236577977,1.3375066685379131,0.0004680347491350303,2.8972617632139053,140.18049871267073,252.68402462350352,0.16444908626149327,25.350117235189902,0.3022109038190073,65.47642405025562,1.0,0.5018280216749855,0.03513730398013244,3.080073396977699,140.18049871267073,252.68402462350352
1,training,150584,0,0.00011999999999999999,0.8691002634306924,0.48518821336858536,0.04201670736056208,0.3391710332962535,0.03118486153209147,2.6931255131757093,0.35904925504572494,2.4926925580984833,1.3379639175483764,0.3069207963598829,0.8450484882984334,0.0034377509394963963,2.7558665878646935,133.58747742740107,245.32712638744752,0.20564362290641333,35.74546781073249,0.3134657204990271,72.48990052706283,1.0,0.5390298617872614,0.08043574850129505,2.4926925580984833,133.58747742740107,245.32712638744752
2,training,150584,0,0.00017999999999999998,0.8516326497748314,0.47570891174705016,0.039225449819667586,0.33485512838479914,0.03247758554693511,1.8106821988998716,0.48741841315834034,2.043652717441515,1.1540512367110851,0.27965230381959866,0.607626776274601,0.009216778124284472,2.313142884687686,118.40695921962035,228.74314333642056,0.2258784479798558,51.45859586996514,0.31923142955247796,86.16739080801,1.0,0.5570323708756805,0.09755982817794598,2.043652717441515,118.40695921962035,228.74314333642056
3,training,150584,0,0.00023999999999999998,0.8312587310328817,0.45759189746974915,0.03885169791307678,0.33372601641792954,0.03290125993429951,1.0562189246333737,0.8589589128202743,1.7021312594952702,0.96019926618137,0.2257614634467185,0.5144209333742267,0.015768908009639156,1.7338491462250385,97.49726047598098,210.40906397194925,0.31097153866697186,75.00508361306441,0.41576532753424134,109.81725703038562,1.0,0.5298047628421266,0.09894117255843458,1.7021312594952702,97.49726047598098,210.40906397194925
4,training,150584,0,0.0003,0.7841496410196798,0.4129902596802335,0.03825683910973307,0.3324474715370173,0.032928228249221245,0.4221377817298399,2.3416797043832713,1.521631974579814,0.8525576523645964,0.1881530013417637,0.47975786392460484,0.02134426028873949,1.1421018065393305,83.63051936090764,199.55403754595108,0.4461628705505322,97.38613328194747,0.5744582427225211,137.3847870481978,1.0,0.4758866868876505,0.1138853558311864,1.521631974579814,83.63051936090764,199.55403754595108
5,training,150584,0,0.0003,0.7608398807000548,0.39245331394923955,0.037066361026735765,0.33099266245532927,0.03325096658008096,0.29429146120016453,3.9061683950943578,1.5032482235597038,0.8541602182839587,0.18222904136376467,0.4660929429291642,0.025689396043179633,0.7403647774646903,85.13326380294771,199.46834664570375,0.4844054023120064,112.64855273817528,0.626001487924917,163.58000657151936,1.0,0.40274049044974336,0.13172400620733107,1.5032482235597038,85.13326380294771,199.46834664570375
6,training,150584,0,0.00029994361559320526,0.7418992623946764,0.37624709089018427,0.03560077500162412,0.3297310980351516,0.033863756271637034,0.28643261847941487,4.341714829504135,1.5542430311315212,0.8996988679794558,0.19273748228775633,0.4613023079267434,0.029055949211627147,0.4752980146744274,92.65598618729076,203.74368053294103,0.42798824920834766,116.05378888068225,0.5810537560566175,171.40539271813958,1.0,0.32265830515705457,0.14217485772647293,1.5542430311315212,92.65598618729076,203.74368053294103
7,training,150584,0,0.0002997745051903474,0.7205622759583146,0.3571955338582527,0.03451768453924296,0.3285379449980105,0.034149482995610936,0.2769646771135301,4.984867174831274,1.5806022063264369,0.9238632408983275,0.1953434955093767,0.4610480040501979,0.03152168912607765,0.3159352535478062,95.56947710705906,206.22057114897612,0.38585422151005305,115.40348331509195,0.5489536835679677,167.55483079324998,1.0,0.26630755079538,0.1472090618093448,1.5806022063264369,95.56947710705906,206.22057114897612
8,training,150584,0,0.00029949279721149045,0.7052942105714359,0.34359929719345067,0.03360834754545641,0.32777880884856175,0.034750332951159285,0.2730070332641683,7.1463488328879645,1.5998383964850766,0.9429361436009079,0.19299215538546832,0.46358464706185565,0.03361646749149154,0.29185478570219225,96.35651456531549,208.28790650057354,0.3991644729312121,117.46679512388644,0.5600177406432414,167.0873777536447,1.0,0.22453579908652369,0.1500747583979951,1.5998383964850766,96.35651456531549,208.28790650057354
9,training,150584,0,0.0002990987055817155,0.694314069974814,0.3339630166235595,0.03291474627412825,0.32713547261086207,0.035266584055997245,0.26556764798871146,7.883242434099512,1.6576291484093317,0.9961960958529047,0.1944783452663328,0.46663891779222816,0.0352525907665955,0.28052947185426197,99.36729827656148,213.9604354323234,0.41637575826942885,117.89940843658196,0.5675527450307123,164.97390240947266,1.0,0.1977038775526951,0.15261286972237328,1.6576291484093317,99.36729827656148,213.9604354323234
10,training,150584,0,0.00029859252956866917,0.6890724016406048,0.3299482475459827,0.032365864351982264,0.3264708736194574,0.03483497123879727,0.25258366566629803,7.788551007035161,1.7207749514622344,1.055274710391743,0.19541318090183793,0.4697824334986896,0.03637805143242244,0.26824907416662636,101.5791823279557,220.54619282837845,0.42608065316088667,118.821560298813,0.5719449849299912,163.27051366196443,1.0,0.18472132175782185,0.15813470594114729,1.7207749514622344,101.5791823279557,220.54619282837845
11,training,150584,0,0.0002979746535553042,0.6588769715706205,0.30118156214457503,0.03184357701505421,0.32557271201401067,0.03562280244443989,0.24349431821789563,5.560414301787413,1.8010579926550518,1.1308557124953613,0.19770242564300863,0.4722048012341264,0.037418152763885285,0.2576339239282522,103.51419746055747,228.97367037636295,0.43102609591392926,119.38615146372229,0.5765375224142536,162.46995785852076,1.0,0.18051511282358879,0.1651513782716249,1.8010579926550518,103.51419746055747,228.97367037636295
12,training,150584,0,0.00029724554674798404,0.6689618483083384,0.31197408047837094,0.031720102710054064,0.32499951020129025,0.03550910862488922,0.23264536422065876,7.083772664161725,1.9459101377210464,1.2742702601298637,0.1969140504496559,0.4744420366512463,0.03811076123498084,0.24569564401810073,104.62659647532882,244.95786348392923,0.444889550188852,121.91682106272175,0.5901339132425317,164.81333643615753,1.0,0.18259192573669905,0.17267226908705302,1.9459101377210464,104.62659647532882,244.95786348392923
13,training,150584,0,0.0002964057628201742,0.6424552680604706,0.2860173741774894,0.03133286241190686,0.32484430267203307,0.035907747401473726,0.22482096425493536,5.697018910210773,2.0948582991908204,1.418400720725043,0.19923829219496003,0.47694565742377343,0.03863389994188012,0.23496283432179899,106.32987587138392,259.9227852907727,0.4442695814734272,122.39535166533135,0.5884456907405288,166.21882920994526,1.0,0.19057746495855274,0.1821321486585524,2.0948582991908204,106.32987587138392,259.9227852907727
14,training,150584,0,0.0002954559394919905,0.6327692051074539,0.27721738560708925,0.030864073235272307,0.3244304828730142,0.03583778459541362,0.22142497011867454,5.780620200838713,2.3491604453647956,1.6689015200270576,0.2010153852163538,0.47897728348228236,0.039043163439188365,0.22718813187015593,107.3775957743618,284.5525136885608,0.4492960970584869,122.56170391396981,0.5888605928808516,165.96903893373727,1.0,0.19691128006904157,0.18858300610450038,2.3491604453647956,107.3775957743618,284.5525136885608
15,training,150584,0,0.00029439679804592366,0.6302853006756896,0.2756574685515056,0.030756541814729785,0.32362000138876384,0.035802841064197385,0.21548452860086512,6.150025808867414,2.46249161334234,1.7782021467462548,0.20327298919904474,0.4807565303614664,0.03933232323339797,0.22063394623380156,107.71204293700642,294.6551188547869,0.45100339552096447,121.32136719197092,0.5845494258135897,164.02607471427788,1.0,0.20324333351446414,0.19603456427456287,2.46249161334234,107.71204293700642,294.6551188547869
