epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,train_gradient_norm,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,150584,0,5.9999999999999995e-05,1.101450751352911,0.44408332855820165,0.16698374563554125,0.48716557030627367,0.0051096076346067954,3.2129972875220396,0.6593344361020432,19.264277981322813,10.046763908398141,0.6509984061113413,8.56349435215331,0.002339371810506258,3.0192012028521145,103.08505020703379,299.4324938113106,0.06916466369081684,12.265657227941036,0.17981477242379154,30.63759015254211,1.0,0.5229134463758172,0.038449103188875226,19.264277981322813,103.08505020703379,299.4324938113106
1,training,150584,0,0.00011999999999999999,0.6872107123580746,0.3399375927558585,0.08454510138975024,0.25980200861783537,0.019659235309959312,2.9063492720830575,0.8551077450529735,17.09731177537627,9.830353127722338,0.6235522458864265,6.6404221261019725,0.019254704293317063,2.9660364964249286,99.25248522134672,296.4278372976754,0.10565697607874557,18.94394450773292,0.22359410171302124,41.63038277405002,1.0,0.6103651927185233,0.1206734267523805,17.09731177537627,99.25248522134672,296.4278372976754
2,training,150584,0,0.00017999999999999998,0.6778004202377844,0.3349141474068627,0.08245963068878119,0.2582631934472296,0.020260164277587665,2.143190033545978,1.0031534194894731,15.570987613561075,9.32181245450063,0.5464698410803712,5.700031914731943,0.05150141039257448,2.621593378850084,88.79357715018861,289.384550719502,0.18124546945938727,33.21012138793708,0.3036845217656709,61.03549512773144,1.0,0.652835250987805,0.1419109612870921,15.570987613561075,88.79357715018861,289.384550719502
3,training,150584,0,0.00023999999999999998,0.6732644554688259,0.3324592413794383,0.08160866349276479,0.25793900259897384,0.02062325948467842,1.2369245850936579,1.0298530432356072,14.724662003588646,8.976435496934979,0.4636172197679845,5.282464828647062,0.09086012263708025,2.0535150378468354,80.91111356887971,284.5758789094656,0.2674306588836748,49.00990316192987,0.4044389760024417,79.15241480050122,1.0,0.6684137788033031,0.1465893842785446,14.724662003588646,80.91111356887971,284.5758789094656
4,training,150584,0,0.0003,0.6673554076137221,0.3291475144777844,0.08011978492365723,0.25766047688510135,0.02096546847053631,0.40666489738597633,0.7839070402612659,14.347978414213602,8.822454287230634,0.41175774645362606,5.112275558527778,0.12884609285490267,1.3621957911306597,76.98750279619304,282.4457571247632,0.3428760825607569,63.90094567211166,0.47556369463202475,95.22016204953908,1.0,0.6763527845327604,0.15505605196935468,14.347978414213602,76.98750279619304,282.4457571247632
5,training,150584,0,0.0003,0.6626984287206741,0.32599653830962777,0.07880245516077261,0.25758652240142493,0.021244455564892305,0.2916695795615357,0.6950412523405437,14.247051098718991,8.82522408968833,0.37421146563906765,5.046564452041014,0.16014610991501024,0.8911893011244645,77.66950862151447,282.3991104313382,0.38610697798634164,84.14396336759853,0.530354622105223,117.23805669762933,1.0,0.6883394156120493,0.16498136543683914,14.247051098718991,77.66950862151447,282.3991104313382
6,training,150584,0,0.00029994361559320526,0.6577174315164946,0.3225029938017435,0.07737409349487707,0.2575394175366089,0.021349096835418826,0.2795771717793688,0.5840346968573011,14.324234553533355,8.956158799390792,0.3459237440883315,5.021409972467333,0.18266713032073642,0.5592498646129579,79.75391235095415,284.3326991649135,0.4247977948189691,105.59110585578335,0.6164348937469002,145.25457890115314,1.0,0.7046384498130761,0.17311712804318347,14.324234553533355,79.75391235095415,284.3326991649135
7,training,150584,0,0.0002997745051903474,0.6527534400107622,0.3187271638034698,0.07624077587145643,0.2574963515214533,0.021384154829558334,0.2677643423622434,0.563438470374405,14.338981979433521,8.994189444117106,0.33128498142988727,5.012989858707527,0.19781598579876156,0.3192354245884162,80.02189747014016,284.9342270378765,0.46463316928007325,118.47962430342938,0.6828526191293731,169.2133224794099,1.0,0.720539725089236,0.17773417584913787,14.338981979433521,80.02189747014016,284.9342270378765
8,training,150584,0,0.00029949279721149045,0.6474232370315326,0.3142910512110459,0.07538795822641688,0.2574692233245902,0.021447111286237892,0.2535597704175971,0.5303747585585054,14.270368789386952,8.930568227849502,0.3225627784255141,5.016747331801668,0.20826580074418682,0.28253123117786694,78.05710766934088,284.1074431198891,0.4941198351837015,123.19484901377284,0.7223255503414597,184.64090720871604,1.0,0.7304937368419651,0.17919483548402526,14.270368789386952,78.05710766934088,284.1074431198891
9,training,150584,0,0.0002990987055817155,0.6409665364083541,0.3086489991428254,0.07468063600918624,0.25737619115050925,0.02144159678198735,0.2392677122438944,0.5258986987493964,14.176362657261834,8.834106603390676,0.31715097238788403,5.02462358389225,0.2148879529112886,0.2660662508248273,76.10954169110774,282.7227770345773,0.5204780435694937,125.36236131925766,0.7409389187745603,191.7077166060409,1.0,0.7337008137117333,0.1795867002011813,14.176362657261834,76.10954169110774,282.7227770345773
